	D20D01903	D20D01920	N20D01871	N20D01901	N20D01904	N20D01905	N20D01906	N20D01909	N20D01921	N20D01922	N20D01924	P20D00675	P20D01200	P20D01934	S20D01614	S20D01666	X20D01899	X20D01923
JAK1_E25_STA100319	1915.0	871.0	1461.0	1953.0	2951.0	2505.0	4767.0	4151.0	1569.0	496.0	3059.0	2796.0	1096.0	531.0	1045.0	951.0	2003.0	428.0
JAK1_E25_STA100320	1929.0	908.0	1500.0	2151.0	4090.0	2399.0	6300.0	4583.0	2066.0	378.0	3280.0	2945.0	1202.0	426.0	1331.0	1200.0	2604.0	689.0
JAK1_E25_STA100321	1470.0	872.0	1008.0	1212.0	2359.0	1600.0	3596.0	3315.0	1173.0	272.0	2264.0	2433.0	719.0	234.0	920.0	585.0	1666.0	448.0
JAK1_E24_STA100322	8002.0	4714.0	6500.0	6343.0	11313.0	9127.0	23637.0	20106.0	7190.0	1959.0	19409.0	12732.0	5729.0	2376.0	4799.0	5407.0	9587.0	2592.0
JAK1_E24_STA100323	7637.0	4834.0	6954.0	7871.0	13129.0	9078.0	22491.0	19889.0	9042.0	2009.0	15925.0	12750.0	5350.0	1868.0	4680.0	4679.0	10340.0	2579.0
JAK1_E24_STA100324	2861.0	1602.0	2295.0	3343.0	4550.0	4133.0	7991.0	7118.0	2782.0	668.0	5615.0	4373.0	1653.0	649.0	1732.0	1705.0	3740.0	964.0
JAK1_E23_STA100325	7302.0	4386.0	6043.0	6559.0	11233.0	8055.0	20025.0	17691.0	7943.0	1789.0	10541.0	10454.0	4753.0	1720.0	4228.0	3932.0	9746.0	2376.0
JAK1_E23_STA100326	1994.0	1173.0	1710.0	1614.0	3185.0	2658.0	6099.0	5251.0	1548.0	674.0	3586.0	3169.0	1435.0	575.0	1677.0	1240.0	1959.0	630.0
JAK1_E22_STA100327	9538.0	3581.0	6553.0	6577.0	13517.0	8504.0	18932.0	17905.0	7178.0	1748.0	11691.0	11766.0	4578.0	2047.0	4755.0	4462.0	9290.0	2869.0
JAK1_E22_STA100328	18778.0	8248.0	13734.0	13565.0	24772.0	18091.0	40278.0	38488.0	15769.0	4227.0	26537.0	22732.0	10109.0	3871.0	8290.0	8736.0	22384.0	6243.0
JAK1_E22_STA100329	12755.0	5958.0	8544.0	9512.0	17326.0	11911.0	29076.0	25418.0	10372.0	2344.0	20882.0	15628.0	7517.0	2782.0	7019.0	5727.0	14628.0	3504.0
JAK1_E22_STA100330	4826.0	2528.0	3340.0	3840.0	7373.0	4587.0	12878.0	12186.0	4346.0	982.0	7999.0	6273.0	2957.0	1148.0	2722.0	2454.0	4418.0	1368.0
JAK1_E21_STA100331	2489.0	1335.0	1770.0	2552.0	4833.0	3620.0	7259.0	5594.0	1975.0	565.0	4317.0	3849.0	1423.0	661.0	1469.0	1045.0	2785.0	678.0
JAK1_E21_STA100332	9618.0	6641.0	8535.0	8798.0	16902.0	13168.0	29685.0	27289.0	8364.0	2096.0	18093.0	14399.0	6705.0	2961.0	6551.0	6230.0	14013.0	3781.0
JAK1_E21_STA100333	11996.0	8353.0	13617.0	11425.0	21734.0	16201.0	33301.0	33049.0	12271.0	3238.0	25240.0	18690.0	8056.0	3173.0	6322.0	7034.0	19114.0	4792.0
JAK1_E20_STA100334	3463.0	2480.0	4146.0	4253.0	9469.0	6364.0	11534.0	12554.0	4110.0	1082.0	10117.0	6631.0	2513.0	754.0	2197.0	1913.0	7177.0	1608.0
JAK1_E20_STA100335	15087.0	7768.0	18011.0	17113.0	34891.0	23372.0	55711.0	51893.0	17665.0	3944.0	45254.0	27738.0	9785.0	3384.0	8609.0	6951.0	28663.0	7140.0
JAK1_E20_STA100336	13943.0	8470.0	18136.0	16015.0	35937.0	24204.0	53677.0	50829.0	16810.0	4392.0	44146.0	26993.0	10474.0	2522.0	7710.0	7329.0	27405.0	7663.0
JAK1_E20_STA100337	12390.0	8319.0	16267.0	12831.0	29846.0	19381.0	44033.0	43702.0	13894.0	3603.0	35527.0	21690.0	8900.0	1952.0	5772.0	6421.0	22640.0	6801.0
JAK1_E19_STA100338	6573.0	3720.0	8101.0	7202.0	15236.0	11100.0	18945.0	21484.0	6699.0	1435.0	17105.0	10905.0	4470.0	1094.0	3223.0	2853.0	11235.0	3379.0
JAK1_E19_STA100339	5343.0	4277.0	7723.0	6381.0	15225.0	10477.0	23696.0	22285.0	5907.0	1545.0	18283.0	10470.0	4593.0	1368.0	3639.0	3303.0	9585.0	2413.0
JAK1_E19_STA101785	10057.0	7443.0	14306.0	9967.0	22143.0	16604.0	36932.0	38969.0	12121.0	2581.0	30432.0	16584.0	7268.0	2311.0	6940.0	6750.0	16718.0	4757.0
JAK1_E18_STA100341	17224.0	7802.0	20902.0	18174.0	35180.0	26067.0	52189.0	50126.0	19680.0	4386.0	45401.0	25253.0	9919.0	3065.0	8490.0	7885.0	27806.0	6413.0
JAK1_E18_STA100342	2203.0	966.0	2229.0	2278.0	4000.0	3012.0	5801.0	4901.0	2110.0	610.0	5925.0	3744.0	1182.0	530.0	1441.0	771.0	3315.0	790.0
JAK1_E17_STA100343	7265.0	4962.0	10692.0	9713.0	20463.0	15702.0	21517.0	23295.0	7590.0	2185.0	21380.0	13452.0	5030.0	1460.0	4212.0	3574.0	13640.0	4202.0
JAK1_E17_STA100344	7481.0	7161.0	11677.0	8220.0	21886.0	15428.0	28180.0	32409.0	8731.0	2189.0	24635.0	13030.0	6114.0	1825.0	5138.0	4949.0	15048.0	5029.0
JAK1_E17_STA100345	4646.0	2909.0	7468.0	6433.0	15286.0	10253.0	17919.0	18740.0	6588.0	1187.0	14724.0	9054.0	3441.0	856.0	3259.0	2214.0	10725.0	3187.0
JAK1_E16_STA100346	7260.0	4787.0	12509.0	10943.0	24982.0	17751.0	28459.0	16735.0	9231.0	2234.0	26206.0	16799.0	5483.0	1675.0	4119.0	3886.0	18647.0	5206.0
JAK1_E16_STA100347	3231.0	1493.0	3645.0	4776.0	9092.0	6914.0	9299.0	10253.0	2761.0	1305.0	10787.0	6923.0	1993.0	796.0	1713.0	1311.0	6377.0	1239.0
JAK1_E15_STA100348	10133.0	7017.0	14076.0	13341.0	30836.0	21853.0	37328.0	38242.0	11588.0	3141.0	33042.0	21205.0	7427.0	2505.0	5073.0	5032.0	23558.0	6701.0
JAK1_E15_STA100349	5430.0	4599.0	9232.0	6361.0	17567.0	10362.0	22030.0	23940.0	8150.0	1698.0	18245.0	11027.0	4057.0	1115.0	2533.0	3588.0	13389.0	3789.0
JAK1_E14_STA100350	4801.0	3946.0	9066.0	6364.0	18641.0	12839.0	21643.0	22754.0	5132.0	1935.0	18192.0	10413.0	4438.0	1174.0	3777.0	3127.0	9925.0	2635.0
JAK1_E14_STA100351	1064.0	640.0	1645.0	1826.0	3322.0	3190.0	3621.0	4160.0	1182.0	500.0	3841.0	2574.0	765.0	357.0	752.0	482.0	2441.0	589.0
JAK1_E13_STA100352	3996.0	2372.0	5458.0	5882.0	10250.0	7302.0	14816.0	15636.0	5486.0	1254.0	14264.0	7915.0	3199.0	1104.0	2575.0	2260.0	8913.0	2044.0
JAK1_E13_STA100353	1106.0	447.0	1306.0	1392.0	3708.0	2514.0	3559.0	3380.0	1203.0	501.0	3388.0	2660.0	779.0	240.0	806.0	503.0	2142.0	431.0
JAK1_E12_STA100354	4649.0	3104.0	7495.0	7335.0	14093.0	11604.0	15548.0	18207.0	5554.0	1406.0	15145.0	9407.0	3791.0	943.0	2838.0	2816.0	9810.0	2887.0
JAK1_E12_STA100355	21471.0	15725.0	37902.0	27776.0	67036.0	38401.0	80053.0	76500.0	30756.0	5969.0	66325.0	40542.0	16014.0	3754.0	12124.0	12512.0	48210.0	11939.0
JAK1_E11_STA100356	13652.0	9122.0	16823.0	12839.0	29391.0	18993.0	33984.0	39223.0	14219.0	3124.0	31677.0	20749.0	8677.0	2258.0	6082.0	6532.0	22102.0	6172.0
JAK1_E11_STA100357	6668.0	5018.0	7511.0	6690.0	13987.0	9055.0	16122.0	18671.0	7084.0	1403.0	15310.0	9376.0	4216.0	1098.0	3029.0	3785.0	10830.0	2245.0
JAK1_E11_STA100358	6165.0	2836.0	5755.0	6129.0	12111.0	8573.0	16952.0	16032.0	6009.0	1564.0	13406.0	10075.0	3861.0	1711.0	4129.0	3058.0	10477.0	2271.0
JAK1_E10_STA100359	2538.0	1065.0	2822.0	3641.0	6762.0	5743.0	6329.0	7385.0	2658.0	704.0	6935.0	5390.0	1621.0	579.0	1643.0	1204.0	4361.0	1034.0
JAK1_E10_STA100360	11006.0	8137.0	16148.0	12156.0	30209.0	20681.0	39226.0	43750.0	12643.0	3229.0	31410.0	21720.0	8196.0	1901.0	7028.0	6376.0	20199.0	5590.0
