	M20D02111	M20D02155	M20D02159	M20D02160	N20D02118	N20D02124	N20D02139	N20D02141	P20D02039	P20D02105	P20D02107	P20D02108	P20D02116	P20D02117	P20D02121	P20D02122	P20D02126	P20D02130	P20D02142	P20D02144	P20D02146	P20D02148	P20D02149	P20D02151	P20D02152	P20D02153	P20D02154	P20D02156	S20D02123	U20D02165	X20D02106
JAK1_E25_STA100319	3115.0	416.0	1185.0	2459.0	1700.0	2300.0	1331.0	3571.0	2660.0	1709.0	794.0	594.0	1062.0	767.0	181.0	1605.0	1438.0	862.0	410.0	2331.0	1477.0	371.0	496.0	612.0	497.0	2728.0	464.0	2853.0	1293.0	1300.0	362.0
JAK1_E25_STA100320	3745.0	407.0	1184.0	2813.0	2004.0	2510.0	2204.0	3424.0	2914.0	2599.0	1479.0	591.0	913.0	1044.0	281.0	1821.0	1302.0	757.0	738.0	2761.0	1886.0	258.0	668.0	644.0	581.0	2996.0	545.0	2980.0	1673.0	1493.0	454.0
JAK1_E25_STA100321	2191.0	420.0	788.0	2249.0	1598.0	1833.0	1192.0	2508.0	2309.0	1972.0	664.0	532.0	826.0	536.0	196.0	1239.0	1059.0	791.0	636.0	1764.0	1274.0	124.0	528.0	174.0	389.0	1977.0	492.0	2007.0	973.0	870.0	190.0
JAK1_E24_STA100322	9173.0	2115.0	6567.0	13525.0	7526.0	8872.0	6482.0	10604.0	8559.0	9252.0	4008.0	2339.0	3245.0	3817.0	1587.0	7122.0	5508.0	3392.0	1973.0	9215.0	6368.0	952.0	1237.0	1979.0	2115.0	11237.0	2494.0	9493.0	3836.0	6081.0	1499.0
JAK1_E24_STA100323	11606.0	1994.0	5426.0	12317.0	6857.0	9848.0	7398.0	11957.0	10277.0	10779.0	4437.0	2243.0	3573.0	4088.0	1331.0	6393.0	6554.0	3568.0	2287.0	9937.0	6469.0	1249.0	1759.0	2364.0	1741.0	10732.0	2410.0	10979.0	4631.0	5580.0	1634.0
JAK1_E24_STA100324	3989.0	702.0	2012.0	4981.0	2674.0	4012.0	2925.0	4917.0	4175.0	3468.0	1520.0	1012.0	1480.0	1493.0	296.0	2366.0	2330.0	1436.0	761.0	3659.0	2372.0	252.0	874.0	654.0	646.0	4460.0	892.0	4213.0	1524.0	2440.0	691.0
JAK1_E23_STA100325	11128.0	1449.0	6647.0	11633.0	5346.0	8310.0	6632.0	9522.0	10042.0	10075.0	3843.0	1865.0	3643.0	4058.0	1221.0	6921.0	5412.0	3163.0	2165.0	8017.0	6009.0	864.0	1433.0	1738.0	1767.0	10220.0	2012.0	9579.0	4502.0	5324.0	1410.0
JAK1_E23_STA100326	1832.0	365.0	1482.0	2862.0	1294.0	1433.0	1802.0	2734.0	1856.0	1798.0	1034.0	484.0	739.0	1014.0	298.0	1478.0	1232.0	854.0	412.0	2686.0	1318.0	169.0	307.0	372.0	616.0	2652.0	628.0	2113.0	678.0	1238.0	487.0
JAK1_E22_STA100327	12222.0	2135.0	5618.0	11450.0	4892.0	8944.0	6239.0	12448.0	10566.0	8721.0	3983.0	2117.0	3999.0	3492.0	1033.0	7313.0	6012.0	3404.0	2186.0	8413.0	5750.0	913.0	1948.0	1776.0	2222.0	9385.0	2065.0	10148.0	5160.0	5574.0	1608.0
JAK1_E22_STA100328	23341.0	4132.0	12614.0	24890.0	10539.0	19163.0	12429.0	22362.0	21436.0	19256.0	7629.0	4397.0	7165.0	7244.0	2222.0	15332.0	13903.0	7079.0	3849.0	17694.0	12913.0	2513.0	2616.0	3666.0	3828.0	19128.0	4213.0	21712.0	10086.0	11638.0	3379.0
