	D20D02112T	D20D02137T	D20D02157T	D20D02158T	K20D02113T	M20D02169	M20D02176	N20D02131	N20D02133	N20D02134	P20D01743	P20D02171	P20D02174	X20D02161T	X20D02162N	X20D02177
JAK1_E25_STA100319	3377.0	535.0	102.0	2667.0	1887.0	2849.0	2762.0	5261.0	3643.0	3718.0	2356.0	1380.0	7015.0	3777.0	1554.0	4628.0
JAK1_E25_STA100320	3883.0	540.0	78.0	3293.0	2768.0	3273.0	2868.0	6397.0	4225.0	4762.0	3355.0	1849.0	7249.0	4918.0	1813.0	5908.0
JAK1_E25_STA100321	3105.0	377.0	40.0	1553.0	1508.0	2133.0	1920.0	3821.0	2660.0	3184.0	2738.0	907.0	4571.0	2784.0	1017.0	3973.0
JAK1_E24_STA100322	15971.0	2822.0	257.0	9237.0	8513.0	12597.0	10097.0	21457.0	16551.0	18955.0	13946.0	4034.0	21085.0	12919.0	5093.0	23732.0
JAK1_E24_STA100323	17731.0	2237.0	259.0	9345.0	9101.0	11888.0	9558.0	22737.0	15303.0	17589.0	14170.0	4915.0	23414.0	14534.0	5592.0	23081.0
JAK1_E24_STA100324	5365.0	906.0	92.0	3209.0	3026.0	4472.0	3754.0	7471.0	5464.0	7119.0	4949.0	1575.0	8955.0	4700.0	1880.0	7988.0
JAK1_E23_STA100325	15754.0	1958.0	240.0	8378.0	7630.0	10717.0	10627.0	18160.0	14348.0	17540.0	11762.0	3444.0	21963.0	10836.0	4718.0	22095.0
JAK1_E23_STA100326	3428.0	667.0	94.0	1471.0	1500.0	2366.0	2451.0	3310.0	4061.0	4236.0	2789.0	1177.0	4718.0	2557.0	802.0	3799.0
JAK1_E22_STA100327	15553.0	2263.0	302.0	8277.0	7879.0	11392.0	9639.0	16883.0	14581.0	17306.0	12961.0	5846.0	24311.0	13156.0	4357.0	18580.0
JAK1_E22_STA100328	36547.0	4299.0	667.0	20498.0	18007.0	25734.0	20446.0	37612.0	33639.0	36404.0	30938.0	11029.0	48281.0	26013.0	9775.0	50069.0
JAK1_E22_STA100329	20344.0	3307.0	545.0	10848.0	11187.0	15687.0	12975.0	25641.0	19913.0	19460.0	15806.0	5624.0	30288.0	14538.0	6553.0	25431.0
JAK1_E22_STA100330	10449.0	1249.0	174.0	4153.0	4072.0	5920.0	4752.0	11256.0	8237.0	6389.0	7502.0	2220.0	9350.0	6317.0	2333.0	12866.0
JAK1_E21_STA100331	4683.0	904.0	82.0	2419.0	2984.0	3722.0	3167.0	4532.0	4321.0	5240.0	3940.0	1497.0	7722.0	3774.0	1513.0	6967.0
JAK1_E21_STA100332	20221.0	2729.0	400.0	10756.0	10284.0	14467.0	13410.0	23075.0	22023.0	25848.0	21043.0	6475.0	27776.0	14325.0	5480.0	33386.0
JAK1_E21_STA100333	24666.0	3138.0	705.0	13257.0	15058.0	17416.0	15787.0	25219.0	22853.0	30181.0	26069.0	8894.0	37044.0	20662.0	5486.0	42237.0
JAK1_E20_STA100334	7219.0	956.0	138.0	3075.0	3403.0	4592.0	4810.0	7575.0	7597.0	10789.0	7233.0	2214.0	12046.0	4542.0	1901.0	10941.0
JAK1_E20_STA100335	31046.0	3200.0	647.0	12744.0	11855.0	17735.0	23598.0	36816.0	30318.0	38789.0	29254.0	11553.0	53825.0	18889.0	6528.0	37756.0
JAK1_E20_STA100336	33083.0	2915.0	461.0	11852.0	12812.0	19117.0	20884.0	37763.0	31987.0	40539.0	31556.0	10483.0	51415.0	19796.0	5655.0	40883.0
JAK1_E20_STA100337	30519.0	2238.0	530.0	10723.0	11588.0	15962.0	16719.0	34345.0	27630.0	35464.0	30911.0	9010.0	40416.0	16931.0	4629.0	43639.0
JAK1_E19_STA100338	14837.0	1315.0	250.0	5178.0	5549.0	8720.0	9578.0	12670.0	14126.0	18184.0	14020.0	4688.0	23808.0	8816.0	2373.0	21634.0
JAK1_E19_STA100339	12491.0	1151.0	245.0	4263.0	4709.0	7897.0	7961.0	12613.0	12920.0	17019.0	12926.0	3907.0	14466.0	7374.0	1682.0	20478.0
JAK1_E19_STA101785	24384.0	2957.0	584.0	9369.0	10106.0	17371.0	13475.0	21770.0	25418.0	32716.0	27312.0	6116.0	29038.0	13163.0	5077.0	42802.0
JAK1_E18_STA100341	30581.0	3342.0	388.0	12994.0	14408.0	19607.0	18549.0	35468.0	28367.0	35369.0	37134.0	8761.0	47514.0	22845.0	7465.0	48848.0
JAK1_E18_STA100342	3056.0	439.0	28.0	1842.0	1959.0	2539.0	3090.0	3682.0	4200.0	3230.0	3281.0	1457.0	8279.0	3419.0	944.0	3148.0
JAK1_E17_STA100343	16417.0	1734.0	308.0	6001.0	7189.0	10758.0	9638.0	12708.0	17334.0	23464.0	17903.0	5505.0	30914.0	7915.0	2327.0	22245.0
JAK1_E17_STA100344	20277.0	2019.0	328.0	6964.0	7118.0	11692.0	10002.0	14063.0	19476.0	28949.0	23174.0	5267.0	24032.0	8799.0	2863.0	37087.0
JAK1_E17_STA100345	12128.0	692.0	269.0	4227.0	4386.0	6193.0	7879.0	11135.0	11671.0	15886.0	13226.0	4058.0	19127.0	6022.0	1860.0	18235.0
JAK1_E16_STA100346	18575.0	1549.0	331.0	5685.0	6536.0	8746.0	12955.0	15448.0	17957.0	25760.0	19193.0	5274.0	31393.0	8561.0	3040.0	24857.0
JAK1_E16_STA100347	3894.0	250.0	97.0	1764.0	2222.0	3102.0	4393.0	4864.0	6125.0	5561.0	6248.0	1711.0	13875.0	3370.0	902.0	7006.0
JAK1_E15_STA100348	24527.0	2373.0	440.0	9216.0	10163.0	13544.0	16161.0	21138.0	27490.0	38373.0	27708.0	8706.0	44108.0	12894.0	3762.0	37892.0
JAK1_E15_STA100349	20000.0	1187.0	176.0	5913.0	6689.0	8468.0	7670.0	10793.0	15286.0	23352.0	19220.0	4581.0	20627.0	7338.0	1863.0	24567.0
JAK1_E14_STA100350	11290.0	688.0	211.0	3108.0	3251.0	5132.0	6232.0	7546.0	11458.0	18710.0	11341.0	2401.0	14487.0	4069.0	1491.0	16089.0
JAK1_E14_STA100351	2537.0	297.0	36.0	732.0	995.0	1528.0	1831.0	2199.0	2693.0	4261.0	2689.0	828.0	4797.0	1210.0	372.0	4732.0
JAK1_E13_STA100352	8418.0	907.0	439.0	2926.0	3948.0	5355.0	7017.0	8184.0	9898.0	11442.0	9458.0	2870.0	16142.0	5653.0	1957.0	13673.0
JAK1_E13_STA100353	1844.0	300.0	24.0	560.0	900.0	674.0	1580.0	1544.0	2316.0	2445.0	1724.0	750.0	4445.0	1611.0	591.0	2151.0
JAK1_E12_STA100354	10057.0	1100.0	162.0	2807.0	4135.0	6424.0	8256.0	7570.0	12005.0	17648.0	9926.0	2758.0	17338.0	4926.0	1324.0	17349.0
JAK1_E12_STA100355	61389.0	3543.0	760.0	13133.0	19140.0	24131.0	24404.0	42518.0	48750.0	87621.0	54055.0	12323.0	72002.0	22308.0	5832.0	79794.0
JAK1_E11_STA100356	33527.0	2442.0	471.0	11434.0	11948.0	17894.0	14784.0	20253.0	25823.0	34364.0	29693.0	8269.0	37836.0	16513.0	5354.0	46248.0
JAK1_E11_STA100357	17599.0	1273.0	226.0	5978.0	6117.0	10139.0	8525.0	10140.0	13147.0	17922.0	14050.0	3976.0	20505.0	8469.0	2702.0	26977.0
JAK1_E11_STA100358	11069.0	1152.0	250.0	5029.0	6202.0	7986.0	8480.0	10638.0	12530.0	14218.0	10941.0	3369.0	18933.0	6854.0	2471.0	14894.0
JAK1_E10_STA100359	4088.0	514.0	191.0	1542.0	1927.0	2702.0	3453.0	3747.0	4493.0	5238.0	4386.0	1582.0	11068.0	3318.0	931.0	5228.0
JAK1_E10_STA100360	32275.0	2228.0	467.0	6949.0	8780.0	13536.0	10658.0	18712.0	24870.0	37612.0	26826.0	5718.0	28143.0	11939.0	3347.0	42656.0
JAK1_E9_STA100361	7653.0	892.0	342.0	3058.0	3405.0	4852.0	6482.0	6659.0	8085.0	10739.0	7523.0	2196.0	15440.0	4968.0	1207.0	12842.0
JAK1_E9_STA100362	11971.0	1323.0	501.0	4688.0	5129.0	8196.0	10326.0	11100.0	13484.0	17374.0	12397.0	3283.0	22589.0	7828.0	1912.0	20274.0
JAK1_E9_STA100363	31772.0	2840.0	614.0	12250.0	13553.0	17813.0	17061.0	22101.0	27692.0	37876.0	33972.0	10464.0	42770.0	15937.0	4481.0	54916.0
JAK1_E8_STA100364	14328.0	1743.0	239.0	7779.0	8273.0	9468.0	9062.0	15482.0	12478.0	15346.0	11627.0	5161.0	20787.0	11366.0	3717.0	19269.0
JAK1_E8_STA100365	26625.0	3530.0	676.0	14311.0	16646.0	16354.0	19690.0	32192.0	26871.0	25429.0	23020.0	8715.0	44233.0	23792.0	8518.0	35453.0
JAK1_E8_STA100366	21332.0	2529.0	739.0	13221.0	13801.0	13379.0	15307.0	26518.0	22285.0	19638.0	19398.0	7423.0	36497.0	19806.0	7014.0	29861.0
JAK1_E8_STA100367	2841.0	557.0	133.0	2240.0	2201.0	2300.0	3111.0	4546.0	3741.0	3195.0	2816.0	945.0	6878.0	3620.0	1157.0	4205.0
JAK1_E7_STA100368	33460.0	5205.0	511.0	16891.0	20965.0	24064.0	15248.0	39860.0	31455.0	40866.0	28236.0	8892.0	41865.0	23974.0	10841.0	48062.0
JAK1_E7_STA100369	4425.0	479.0	237.0	3514.0	2614.0	4939.0	4039.0	7346.0	6450.0	6316.0	4553.0	1668.0	7240.0	4031.0	1696.0	8153.0
JAK1_E7_STA100370	8771.0	1166.0	208.0	5428.0	4648.0	7098.0	4159.0	8579.0	7369.0	8666.0	7084.0	3245.0	11314.0	6496.0	2594.0	12066.0
