	19T10717	19T18091	20T33159	D20D02352	E20D02359T	M20D02354	N20D02344	N20D02353	P20D02335	P20D02348	P20D02350	P20D02355	P20D02360	U20D02340	X20D02334	X20D02342	X20D02365
JAK1_E25_STA100319	1211.0	2036.0	2325.0	1263.0	8631.0	6333.0	310.0	4538.0	5491.0	2531.0	1329.0	2186.0	2329.0	2159.0	4941.0	3968.0	5260.0
JAK1_E25_STA100320	1468.0	2593.0	3343.0	1500.0	11691.0	7896.0	483.0	7418.0	7073.0	3393.0	1952.0	3621.0	2805.0	2660.0	7522.0	5016.0	6862.0
JAK1_E25_STA100321	710.0	1301.0	1460.0	936.0	5092.0	4657.0	236.0	3639.0	3698.0	2000.0	851.0	1651.0	1738.0	1515.0	3848.0	2352.0	3788.0
JAK1_E24_STA100322	4591.0	8331.0	7482.0	4065.0	28907.0	27731.0	1124.0	22729.0	23626.0	7694.0	4768.0	10076.0	5902.0	9739.0	19304.0	12701.0	15946.0
JAK1_E24_STA100323	4988.0	7731.0	9043.0	4208.0	31213.0	27704.0	1214.0	22689.0	25929.0	10344.0	5552.0	9149.0	6935.0	9408.0	22253.0	14249.0	19406.0
JAK1_E24_STA100324	1768.0	3043.0	3382.0	1734.0	8748.0	10579.0	460.0	7905.0	8973.0	3716.0	1828.0	3271.0	2799.0	3591.0	8434.0	5415.0	6684.0
JAK1_E23_STA100325	3221.0	5338.0	7411.0	4334.0	22981.0	24570.0	934.0	19075.0	20052.0	9034.0	5188.0	7979.0	5864.0	8111.0	19257.0	10977.0	16053.0
JAK1_E23_STA100326	1072.0	1709.0	2115.0	1369.0	8144.0	8050.0	332.0	5966.0	7554.0	1943.0	1132.0	2422.0	1587.0	2751.0	5086.0	3189.0	3993.0
JAK1_E22_STA100327	4745.0	6829.0	8034.0	5203.0	31056.0	27715.0	1384.0	21422.0	22411.0	12079.0	5516.0	9728.0	7915.0	9296.0	23318.0	13201.0	21224.0
JAK1_E22_STA100328	9231.0	14893.0	16466.0	8136.0	68442.0	58625.0	3335.0	44429.0	47218.0	22130.0	11636.0	22270.0	15061.0	19659.0	44385.0	29826.0	40655.0
JAK1_E22_STA100329	5806.0	9970.0	13645.0	6559.0	33422.0	38278.0	1687.0	29322.0	33507.0	12934.0	7433.0	13388.0	9251.0	13044.0	28642.0	16651.0	27469.0
JAK1_E22_STA100330	2327.0	4240.0	4524.0	2133.0	17563.0	15801.0	948.0	10695.0	13316.0	4560.0	2964.0	5712.0	2811.0	5736.0	11452.0	7893.0	9921.0
JAK1_E21_STA100331	1368.0	2367.0	3809.0	1525.0	10234.0	8626.0	491.0	6036.0	7384.0	3346.0	1671.0	2789.0	2245.0	2715.0	7225.0	5002.0	6935.0
JAK1_E21_STA100332	6730.0	11108.0	13888.0	7125.0	43936.0	37925.0	2122.0	30312.0	32394.0	12670.0	6114.0	10413.0	8057.0	13435.0	31852.0	20838.0	26020.0
JAK1_E21_STA100333	6070.0	8447.0	11326.0	6711.0	45797.0	35992.0	2551.0	28636.0	32748.0	16095.0	6618.0	9795.0	8305.0	13125.0	29911.0	19387.0	25817.0
JAK1_E20_STA100334	2373.0	3463.0	5041.0	2129.0	11259.0	14563.0	613.0	11078.0	12846.0	5039.0	1673.0	2444.0	2986.0	4605.0	11198.0	6214.0	9617.0
JAK1_E20_STA100335	10175.0	14592.0	19714.0	7727.0	55527.0	53122.0	2683.0	47423.0	51760.0	22404.0	6668.0	10821.0	12110.0	15767.0	49131.0	22118.0	43080.0
JAK1_E20_STA100336	9337.0	15714.0	21334.0	8655.0	55983.0	54426.0	2693.0	48575.0	49936.0	23246.0	5865.0	9797.0	11897.0	17572.0	49047.0	22815.0	44515.0
JAK1_E20_STA100337	7428.0	12027.0	16133.0	7089.0	47613.0	42387.0	2318.0	37184.0	40027.0	18125.0	4983.0	7745.0	8742.0	15366.0	39613.0	19192.0	34996.0
JAK1_E19_STA100338	4253.0	6054.0	7768.0	3094.0	26628.0	23898.0	1365.0	17778.0	18787.0	9759.0	2401.0	3979.0	4504.0	7252.0	19780.0	9679.0	16471.0
JAK1_E19_STA100339	4745.0	6135.0	8107.0	3353.0	26182.0	24245.0	938.0	20656.0	25830.0	7292.0	2635.0	4957.0	4265.0	8554.0	18665.0	10467.0	15395.0
JAK1_E19_STA101785	7062.0	11859.0	11254.0	6633.0	44328.0	41718.0	2634.0	34856.0	38273.0	12979.0	5048.0	8723.0	6972.0	14448.0	32168.0	19407.0	25588.0
JAK1_E18_STA100341	7483.0	11240.0	14932.0	6981.0	51778.0	47393.0	2540.0	39330.0	45374.0	19406.0	7258.0	9399.0	10431.0	13759.0	36940.0	18817.0	37478.0
JAK1_E18_STA100342	1213.0	1774.0	2506.0	1153.0	9722.0	6830.0	407.0	5439.0	6086.0	3262.0	1163.0	1565.0	2302.0	2201.0	5569.0	2817.0	5386.0
JAK1_E17_STA100343	4099.0	4848.0	8126.0	3955.0	21826.0	24153.0	1469.0	16414.0	21604.0	10313.0	2555.0	3831.0	4360.0	6814.0	20914.0	9533.0	16122.0
