	D20D02433	D20D02436T	D20D02444	D20D02445T	G20D02417	G20D02460	K20D02437	M20D02448	M20D02474	N20D02449	N20D02451	N20D02452	P20D02439	P20D02450	P20D02453	P20D02454	P20D02455	P20D02456	P20D02459	P20D02464	P20D02465	P20D02469	P20D02471	S20D02363	S20D02435	S20D02473	T20D02402	U20D02442	U20D02443	X20D02423	X20D02457
JAK1_E25_STA100319	1465.0	1228.0	1749.0	1999.0	816.0	3392.0	420.0	1070.0	2266.0	90.0	1243.0	1794.0	1555.0	2318.0	2048.0	436.0	2750.0	1083.0	1850.0	1612.0	2265.0	1855.0	1010.0	645.0	1759.0	338.0	1011.0	20.0	973.0	2307.0	2908.0
JAK1_E25_STA100320	1183.0	1094.0	1628.0	1825.0	842.0	3415.0	399.0	903.0	2213.0	123.0	995.0	1679.0	1516.0	2239.0	1987.0	489.0	2646.0	912.0	1757.0	1757.0	2643.0	1710.0	821.0	768.0	1873.0	270.0	1075.0	44.0	947.0	2204.0	2891.0
JAK1_E25_STA100321	1002.0	787.0	1226.0	1352.0	524.0	2245.0	237.0	648.0	1775.0	154.0	708.0	1110.0	1404.0	1624.0	1654.0	290.0	1960.0	776.0	1252.0	1184.0	1842.0	1409.0	674.0	664.0	1186.0	234.0	714.0	20.0	756.0	2089.0	2017.0
JAK1_E24_STA100322	6080.0	3859.0	4794.0	5545.0	3569.0	12805.0	1358.0	3477.0	9314.0	518.0	3527.0	6189.0	6889.0	8243.0	9585.0	2098.0	9727.0	4368.0	6717.0	7957.0	8608.0	7680.0	2709.0	2137.0	5697.0	1339.0	3896.0	258.0	3948.0	11283.0	8856.0
JAK1_E24_STA100323	5807.0	4989.0	5914.0	6674.0	3474.0	11813.0	1537.0	3293.0	8992.0	538.0	3680.0	6391.0	7231.0	7945.0	8868.0	1950.0	9634.0	4304.0	7223.0	7509.0	9713.0	7717.0	3384.0	2677.0	7349.0	1228.0	4151.0	244.0	4063.0	11037.0	10759.0
JAK1_E24_STA100324	1560.0	1654.0	1750.0	2347.0	1260.0	3887.0	583.0	1182.0	3177.0	166.0	1467.0	2191.0	2518.0	2852.0	2983.0	692.0	3530.0	1353.0	2403.0	2567.0	2931.0	2960.0	870.0	940.0	1809.0	528.0	1473.0	84.0	1370.0	3406.0	3922.0
JAK1_E23_STA100325	5690.0	4250.0	5363.0	5700.0	3339.0	11941.0	1440.0	3302.0	7715.0	518.0	4365.0	6294.0	6283.0	8059.0	7960.0	2054.0	9432.0	4336.0	5929.0	6875.0	8628.0	7482.0	3276.0	2256.0	5575.0	789.0	3599.0	136.0	3938.0	10527.0	9725.0
JAK1_E23_STA100326	1161.0	978.0	1321.0	1140.0	1023.0	3744.0	379.0	717.0	2283.0	97.0	1094.0	1600.0	1981.0	2402.0	3267.0	879.0	2864.0	1133.0	1695.0	2168.0	2002.0	1943.0	1252.0	551.0	1202.0	369.0	1115.0	25.0	1241.0	2100.0	2843.0
JAK1_E22_STA100327	6042.0	4969.0	6084.0	7034.0	3353.0	12814.0	1571.0	3624.0	7964.0	362.0	4214.0	6997.0	6071.0	8383.0	9041.0	2287.0	9471.0	4261.0	6707.0	6858.0	10073.0	8065.0	3239.0	2450.0	6486.0	1246.0	3947.0	220.0	3802.0	9416.0	9967.0
JAK1_E22_STA100328	14571.0	10077.0	13527.0	14307.0	7135.0	26977.0	2694.0	8591.0	17270.0	672.0	7678.0	13289.0	13213.0	16611.0	17302.0	4262.0	20554.0	8635.0	14248.0	13837.0	19455.0	15381.0	6494.0	5219.0	14747.0	2305.0	7519.0	305.0	9099.0	22652.0	19688.0
JAK1_E22_STA100329	6657.0	6026.0	6655.0	7821.0	5196.0	16786.0	1649.0	4913.0	10131.0	429.0	5257.0	7971.0	7647.0	10646.0	11662.0	2707.0	12577.0	4777.0	8359.0	8890.0	10337.0	9250.0	4552.0	3066.0	6805.0	1190.0	4757.0	348.0	4932.0	11514.0	12524.0
JAK1_E22_STA100330	3207.0	2212.0	2936.0	2398.0	2390.0	7196.0	732.0	1582.0	4327.0	293.0	1849.0	3276.0	3691.0	4289.0	4967.0	1411.0	5318.0	1766.0	3164.0	3853.0	5264.0	3541.0	1839.0	1112.0	3773.0	511.0	1691.0	127.0	2411.0	7209.0	4804.0
JAK1_E21_STA100331	1607.0	1375.0	1808.0	2096.0	896.0	3874.0	444.0	954.0	2296.0	216.0	1626.0	1958.0	1830.0	2264.0	2532.0	422.0	2582.0	1230.0	1454.0	1597.0	3452.0	2322.0	1077.0	672.0	1750.0	297.0	948.0	40.0	1111.0	3184.0	2966.0
JAK1_E21_STA100332	8114.0	5166.0	6556.0	6790.0	4599.0	16434.0	1902.0	3534.0	10267.0	809.0	5358.0	8587.0	9669.0	11357.0	11170.0	2836.0	12081.0	5124.0	6428.0	9703.0	14262.0	8254.0	5109.0	2858.0	7518.0	1320.0	4132.0	420.0	5500.0	15494.0	11478.0
JAK1_E21_STA100333	13221.0	7937.0	11212.0	10410.0	4076.0	19362.0	2301.0	5543.0	12902.0	838.0	6408.0	12325.0	10599.0	13173.0	14517.0	3125.0	14250.0	7620.0	7843.0	11037.0	18346.0	12147.0	4860.0	3437.0	11678.0	1710.0	5248.0	541.0	7490.0	27433.0	13953.0
JAK1_E20_STA100334	2908.0	2369.0	2764.0	2661.0	1284.0	6437.0	376.0	1705.0	3523.0	172.0	1597.0	3883.0	3627.0	4505.0	4793.0	979.0	4741.0	1820.0	1963.0	3586.0	4417.0	4005.0	2026.0	761.0	3274.0	324.0	1434.0	123.0	2212.0	7553.0	4997.0
JAK1_E20_STA100335	13880.0	10591.0	12161.0	11984.0	4974.0	25734.0	1984.0	6070.0	15346.0	500.0	8258.0	15941.0	14148.0	19080.0	17585.0	4811.0	20141.0	8656.0	7973.0	14495.0	22485.0	14756.0	7573.0	3497.0	15990.0	1823.0	6781.0	506.0	9688.0	30198.0	19508.0
JAK1_E20_STA100336	14691.0	8534.0	12356.0	12299.0	4751.0	27188.0	1722.0	6087.0	14771.0	431.0	9296.0	15991.0	14798.0	19392.0	18744.0	4156.0	20081.0	7965.0	7350.0	14520.0	20322.0	14341.0	7039.0	2845.0	14156.0	1324.0	5858.0	552.0	8456.0	31945.0	20137.0
JAK1_E20_STA100337	13177.0	7159.0	11488.0	9951.0	3872.0	22003.0	1333.0	6182.0	12161.0	485.0	6689.0	12696.0	12381.0	15427.0	16141.0	3551.0	16001.0	6666.0	5921.0	12459.0	17096.0	11629.0	5726.0	2226.0	14885.0	888.0	4918.0	661.0	7084.0	34532.0	15559.0
JAK1_E19_STA100338	6597.0	4107.0	6090.0	5724.0	1962.0	11664.0	848.0	2852.0	6696.0	248.0	3508.0	7424.0	5804.0	7769.0	7462.0	1977.0	7676.0	3269.0	3217.0	6156.0	9103.0	5662.0	2853.0	1418.0	6880.0	815.0	2675.0	352.0	4312.0	17019.0	8765.0
JAK1_E19_STA100339	5716.0	3132.0	5016.0	4062.0	2373.0	10875.0	651.0	2573.0	6671.0	225.0	3227.0	6162.0	5605.0	7898.0	9153.0	1878.0	8075.0	3359.0	3248.0	6705.0	8601.0	5832.0	3320.0	961.0	5669.0	622.0	3002.0	231.0	4406.0	16176.0	6341.0
JAK1_E19_STA101785	9672.0	5965.0	7823.0	7387.0	3909.0	17656.0	1654.0	4386.0	11868.0	861.0	5204.0	10072.0	10395.0	13384.0	13397.0	3332.0	13425.0	5672.0	6575.0	11153.0	15986.0	9457.0	5002.0	2169.0	10299.0	1245.0	4327.0	480.0	6615.0	29219.0	12507.0
