	D20D02477T	D20D02527	D21D00009T	D21D00012T	K20D02522T	M20D02483	M20D02521	M20D02532	M21D00003	M21D00004	M21D00010	N21D00002	N21D00011	N21D00032	P20D02524	P20D02526	P20D02528	P20D02529	P21D00014	P21D00017	P21D00020	P21D00025	P21D00036	P21D00039	P21D00041	S21D00030T	U21D00008	X20D02446HPV
JAK1_E25_STA100319	1079.0	1239.0	2524.0	722.0	487.0	529.0	1697.0	1087.0	1129.0	1554.0	3190.0	3296.0	3770.0	10663.0	102.0	34.0	122.0	1822.0	160.0	1211.0	477.0	683.0	2844.0	426.0	1440.0	419.0	153.0	860.0
JAK1_E25_STA100320	1541.0	1218.0	3049.0	674.0	563.0	677.0	1957.0	1373.0	1088.0	1595.0	3885.0	2748.0	4022.0	11209.0	82.0	36.0	66.0	1950.0	198.0	1106.0	449.0	1063.0	3405.0	490.0	1236.0	402.0	158.0	810.0
JAK1_E25_STA100321	1435.0	807.0	2466.0	488.0	507.0	612.0	1389.0	1258.0	866.0	1229.0	2608.0	2478.0	2811.0	8615.0	82.0	83.0	100.0	1634.0	114.0	803.0	384.0	664.0	2213.0	454.0	1101.0	380.0	206.0	564.0
JAK1_E24_STA100322	7716.0	6230.0	15526.0	4367.0	3805.0	4137.0	12186.0	6185.0	4536.0	13769.0	13943.0	20351.0	20501.0	46870.0	484.0	334.0	580.0	10905.0	1022.0	5874.0	3303.0	4409.0	17060.0	2732.0	8659.0	2989.0	748.0	4929.0
JAK1_E24_STA100323	5540.0	4829.0	12675.0	2876.0	2530.0	2638.0	8361.0	5300.0	4037.0	7809.0	12622.0	13860.0	16246.0	40468.0	381.0	253.0	385.0	8774.0	705.0	4521.0	1946.0	3932.0	13041.0	2051.0	6124.0	2168.0	742.0	3266.0
JAK1_E24_STA100324	2720.0	2054.0	5393.0	1410.0	1419.0	1150.0	3637.0	2239.0	1588.0	3441.0	6390.0	5769.0	8138.0	17936.0	177.0	146.0	108.0	3265.0	220.0	2260.0	869.0	1892.0	5038.0	959.0	2623.0	774.0	322.0	1618.0
JAK1_E23_STA100325	5498.0	4712.0	12097.0	3060.0	2213.0	2972.0	9458.0	6566.0	3734.0	9358.0	12441.0	12088.0	16299.0	32194.0	469.0	353.0	258.0	7828.0	742.0	4139.0	2256.0	4013.0	14433.0	2467.0	6050.0	1683.0	691.0	3262.0
JAK1_E23_STA100326	1221.0	1362.0	2274.0	943.0	568.0	580.0	1843.0	932.0	629.0	1762.0	1744.0	3084.0	4164.0	8373.0	100.0	72.0	137.0	1697.0	225.0	1080.0	513.0	494.0	3615.0	620.0	1473.0	470.0	158.0	1014.0
JAK1_E22_STA100327	6489.0	4399.0	11186.0	3162.0	2035.0	2596.0	7341.0	4322.0	4188.0	6846.0	10475.0	12008.0	13280.0	35298.0	529.0	166.0	330.0	8367.0	451.0	3741.0	1724.0	3272.0	13308.0	2421.0	5992.0	1347.0	465.0	3449.0
JAK1_E22_STA100328	9794.0	8576.0	23156.0	6076.0	4230.0	4586.0	16160.0	9524.0	7713.0	15616.0	19880.0	24193.0	27195.0	65208.0	594.0	354.0	633.0	16171.0	1248.0	8031.0	3674.0	6565.0	23471.0	3835.0	11812.0	3301.0	1117.0	6187.0
JAK1_E22_STA100329	6065.0	5043.0	12459.0	3992.0	2381.0	2556.0	9851.0	5839.0	3868.0	8662.0	12464.0	14621.0	20683.0	38636.0	320.0	286.0	354.0	8026.0	747.0	4511.0	2263.0	3634.0	14917.0	2503.0	6415.0	2030.0	691.0	3926.0
JAK1_E22_STA100330	2279.0	2543.0	5614.0	1486.0	1011.0	1294.0	4289.0	2424.0	2115.0	5179.0	4224.0	7479.0	8804.0	15907.0	174.0	156.0	308.0	3752.0	346.0	1813.0	1057.0	1432.0	6753.0	1029.0	2839.0	979.0	376.0	1704.0
JAK1_E21_STA100331	2617.0	1769.0	3814.0	893.0	746.0	990.0	2363.0	1512.0	1525.0	2523.0	3405.0	4888.0	6490.0	14262.0	196.0	101.0	82.0	2988.0	194.0	1463.0	628.0	1078.0	4706.0	669.0	2061.0	541.0	306.0	1288.0
JAK1_E21_STA100332	6962.0	4821.0	12030.0	3185.0	2879.0	3112.0	10370.0	5787.0	3754.0	10774.0	9055.0	14099.0	22767.0	38464.0	356.0	306.0	375.0	7897.0	631.0	4297.0	2292.0	3968.0	15781.0	2270.0	7839.0	1691.0	801.0	3979.0
JAK1_E21_STA100333	12330.0	8520.0	23101.0	4919.0	3983.0	7822.0	17175.0	10299.0	6842.0	19311.0	16727.0	28032.0	30224.0	71026.0	789.0	518.0	908.0	19443.0	905.0	7834.0	4280.0	7824.0	25977.0	5555.0	14549.0	3080.0	1202.0	7092.0
JAK1_E20_STA100334	2744.0	2320.0	5428.0	1340.0	648.0	1429.0	3592.0	1897.0	1779.0	4459.0	3990.0	9501.0	8661.0	22288.0	129.0	122.0	110.0	5590.0	338.0	1584.0	759.0	2004.0	6804.0	1289.0	3110.0	309.0	269.0	1831.0
JAK1_E20_STA100335	10937.0	6820.0	20604.0	4384.0	1932.0	5751.0	15714.0	6359.0	6697.0	15429.0	12060.0	38638.0	32047.0	90657.0	768.0	515.0	977.0	21939.0	991.0	7934.0	3338.0	4905.0	26077.0	4341.0	12235.0	1436.0	983.0	5612.0
JAK1_E20_STA100336	12289.0	6250.0	22424.0	4495.0	2134.0	5999.0	14897.0	6879.0	6900.0	16888.0	12806.0	37230.0	35914.0	92355.0	710.0	379.0	547.0	21277.0	942.0	8428.0	3623.0	5457.0	27291.0	4727.0	12348.0	1511.0	1158.0	6204.0
JAK1_E20_STA100337	10151.0	5078.0	21736.0	3434.0	1773.0	5318.0	12586.0	6337.0	6228.0	17307.0	11496.0	30963.0	26538.0	71628.0	635.0	381.0	467.0	17795.0	794.0	6740.0	3562.0	7511.0	22857.0	4090.0	10306.0	1502.0	1188.0	5773.0
JAK1_E19_STA100338	5125.0	2856.0	10806.0	1636.0	785.0	2418.0	6118.0	2497.0	3168.0	7801.0	5023.0	14535.0	12181.0	38940.0	400.0	138.0	393.0	9744.0	344.0	3352.0	1638.0	2695.0	12339.0	2143.0	4938.0	716.0	396.0	2695.0
JAK1_E19_STA100339	3602.0	3106.0	8023.0	1667.0	1305.0	2102.0	5980.0	2705.0	2588.0	8147.0	3986.0	14245.0	13827.0	29155.0	280.0	100.0	415.0	7440.0	513.0	2965.0	1451.0	2242.0	11472.0	1340.0	4992.0	900.0	495.0	2518.0
JAK1_E19_STA101785	6785.0	4841.0	14770.0	3041.0	2275.0	3883.0	11124.0	5156.0	4922.0	15626.0	7497.0	21693.0	20842.0	50331.0	393.0	430.0	489.0	12156.0	883.0	4863.0	2902.0	3912.0	17991.0	2874.0	10199.0	1473.0	959.0	4180.0
JAK1_E18_STA100341	12384.0	6682.0	24991.0	4047.0	2610.0	5945.0	15078.0	9143.0	6818.0	20426.0	14237.0	32719.0	29694.0	88889.0	657.0	535.0	844.0	22215.0	1199.0	7557.0	4197.0	7551.0	27278.0	4015.0	12697.0	2507.0	1242.0	7515.0
JAK1_E18_STA100342	1816.0	1088.0	2761.0	724.0	404.0	642.0	1887.0	1238.0	983.0	1949.0	1935.0	5297.0	4132.0	15545.0	114.0	90.0	180.0	3280.0	132.0	1198.0	632.0	690.0	4235.0	786.0	1627.0	328.0	138.0	959.0
JAK1_E17_STA100343	10222.0	3691.0	15608.0	2377.0	1132.0	4803.0	9331.0	4563.0	4421.0	12748.0	6655.0	22403.0	17438.0	57137.0	585.0	279.0	498.0	14000.0	639.0	4353.0	2148.0	5324.0	16457.0	4117.0	9084.0	975.0	717.0	4785.0
JAK1_E17_STA100344	6930.0	4028.0	13686.0	2477.0	1162.0	4394.0	10341.0	4447.0	4380.0	14655.0	5560.0	23312.0	19193.0	42259.0	630.0	144.0	441.0	12673.0	622.0	4023.0	2375.0	5508.0	16128.0	2962.0	9645.0	1059.0	326.0	4244.0
JAK1_E17_STA100345	4050.0	2147.0	8419.0	1279.0	836.0	2082.0	5133.0	2664.0	2771.0	6589.0	3729.0	13741.0	10852.0	31894.0	348.0	116.0	273.0	8022.0	384.0	2590.0	1376.0	2882.0	9163.0	1743.0	4474.0	577.0	355.0	2270.0
JAK1_E16_STA100346	6360.0	3002.0	10621.0	1643.0	893.0	2917.0	6771.0	3701.0	3043.0	9377.0	4956.0	16775.0	20620.0	41005.0	347.0	205.0	237.0	9196.0	473.0	3343.0	1569.0	4554.0	13084.0	2345.0	6747.0	558.0	374.0	3121.0
JAK1_E16_STA100347	3078.0	1398.0	4190.0	684.0	324.0	870.0	2057.0	869.0	1011.0	2780.0	1536.0	7032.0	6104.0	19717.0	220.0	66.0	103.0	4130.0	198.0	1305.0	589.0	1187.0	4777.0	781.0	2563.0	261.0	169.0	1552.0
JAK1_E15_STA100348	10951.0	4138.0	19923.0	2376.0	1859.0	4386.0	10825.0	5718.0	5453.0	16148.0	7116.0	28933.0	26092.0	71994.0	614.0	250.0	487.0	17016.0	628.0	6516.0	2565.0	6533.0	20133.0	4030.0	11649.0	884.0	694.0	5853.0
JAK1_E15_STA100349	3967.0	2622.0	9335.0	1334.0	1061.0	2659.0	6891.0	3018.0	3015.0	8611.0	4635.0	15021.0	13502.0	32370.0	409.0	260.0	226.0	8811.0	220.0	2477.0	1447.0	4271.0	11212.0	1956.0	5809.0	784.0	477.0	2762.0
JAK1_E14_STA100350	3196.0	2167.0	6349.0	1237.0	404.0	1735.0	4598.0	1549.0	1966.0	6655.0	1696.0	12402.0	12132.0	26294.0	179.0	235.0	315.0	6402.0	328.0	2608.0	1127.0	1675.0	9897.0	1580.0	4801.0	494.0	202.0	2447.0
