	C21D00050	D21D00052	D21D00060T	D21D00065	D21D00066T	D21D00074T	K21D00053	M21D00054	M21D00075	N21D00042	N21D00061	O21D00086T	P20D02528	P21D00043	P21D00044	P21D00045	P21D00046	P21D00055	P21D00056	P21D00062	P21D00067	P21D00068	P21D00078	P21D00083	P21D00091	U21D00040	X21D00037	X21D00058T	X21D00069	X21D00077
JAK1_E25_STA100319	2212.0	916.0	3403.0	1228.0	2989.0	3073.0	1854.0	3113.0	1197.0	2708.0	3559.0	1302.0	328.0	1972.0	2308.0	1782.0	1879.0	1010.0	1237.0	627.0	4146.0	855.0	255.0	278.0	153.0	1922.0	776.0	861.0	398.0	475.0
JAK1_E25_STA100320	2315.0	749.0	3639.0	1219.0	2819.0	2950.0	1336.0	2778.0	1054.0	2665.0	2736.0	1152.0	450.0	2026.0	2673.0	1758.0	2006.0	1316.0	1291.0	806.0	4936.0	1056.0	251.0	422.0	124.0	2064.0	778.0	997.0	726.0	578.0
JAK1_E25_STA100321	1805.0	608.0	2508.0	686.0	1694.0	1992.0	955.0	2172.0	755.0	1625.0	2518.0	1094.0	260.0	1198.0	2016.0	1190.0	1001.0	766.0	911.0	796.0	2933.0	752.0	106.0	371.0	120.0	1324.0	512.0	807.0	440.0	440.0
JAK1_E24_STA100322	15524.0	6118.0	11696.0	5204.0	11465.0	13992.0	4984.0	11066.0	6519.0	11865.0	17261.0	5509.0	1350.0	7220.0	9321.0	7518.0	8888.0	4786.0	5376.0	4151.0	15527.0	4134.0	861.0	2014.0	793.0	8612.0	4798.0	4669.0	2181.0	2465.0
JAK1_E24_STA100323	10582.0	4103.0	12706.0	4175.0	11240.0	10803.0	5166.0	11802.0	5977.0	9662.0	13902.0	4792.0	1532.0	7554.0	9842.0	6150.0	7155.0	3927.0	4385.0	3466.0	15891.0	3917.0	682.0	1773.0	522.0	7568.0	3671.0	3480.0	2402.0	2110.0
JAK1_E24_STA100324	4112.0	1437.0	5498.0	1832.0	5015.0	4558.0	1960.0	4882.0	2358.0	3342.0	6211.0	2088.0	722.0	2292.0	3536.0	2703.0	2880.0	1612.0	1890.0	1566.0	5889.0	1502.0	335.0	594.0	162.0	3233.0	1586.0	1488.0	1122.0	956.0
JAK1_E23_STA100325	8987.0	4577.0	11607.0	4267.0	9806.0	10401.0	4064.0	9818.0	5009.0	9265.0	12599.0	4004.0	1360.0	6744.0	8478.0	5779.0	6773.0	3893.0	4178.0	3404.0	13046.0	3678.0	665.0	1600.0	479.0	6632.0	3630.0	3203.0	2100.0	2111.0
JAK1_E23_STA100326	2736.0	1289.0	3674.0	1298.0	3041.0	2799.0	1203.0	2786.0	1496.0	2227.0	2135.0	1506.0	400.0	1232.0	2300.0	1989.0	2485.0	971.0	1659.0	1040.0	4251.0	1003.0	340.0	400.0	208.0	1897.0	1200.0	1083.0	510.0	670.0
JAK1_E22_STA100327	8517.0	4192.0	12896.0	3835.0	10343.0	10687.0	5123.0	11775.0	5193.0	9567.0	12424.0	4586.0	1303.0	7511.0	10679.0	6129.0	6834.0	4398.0	4179.0	3796.0	14082.0	3946.0	774.0	1706.0	541.0	7647.0	3607.0	3143.0	2275.0	1927.0
JAK1_E22_STA100328	19486.0	8963.0	23075.0	8168.0	19847.0	20346.0	9505.0	21524.0	10808.0	21070.0	20906.0	8367.0	2475.0	13791.0	18843.0	11379.0	13907.0	7627.0	7873.0	6793.0	26149.0	7947.0	1385.0	2697.0	1026.0	14030.0	7496.0	6273.0	3923.0	3832.0
