	M21D00182	M21D00185	M21D00194	M21D00219	N21D00184	N21D00213	N21D00214	N21D00217	N21D00218	N21D00223	P21D00158	P21D00159	P21D00164	P21D00165	P21D00169	P21D00170	P21D00173	P21D00180	P21D00181	P21D00186	P21D00189	P21D00190	P21D00191	P21D00195	P21D00200	P21D00209	P21D00210	P21D00215	P21D00221	P21D00222	X21D00163
JAK1_E25_STA100319	1879.0	1582.0	802.0	105.0	1988.0	918.0	2069.0	771.0	487.0	1453.0	266.0	1112.0	2152.0	2246.0	3242.0	1428.0	864.0	1561.0	602.0	1001.0	3517.0	1330.0	1624.0	465.0	1650.0	1612.0	418.0	1533.0	2483.0	1262.0	416.0
JAK1_E25_STA100320	2321.0	1736.0	983.0	109.0	1532.0	928.0	2086.0	682.0	508.0	1321.0	278.0	1466.0	2674.0	2917.0	3156.0	1630.0	820.0	2043.0	780.0	1001.0	4384.0	1098.0	1847.0	485.0	2187.0	1587.0	430.0	1498.0	2634.0	1464.0	418.0
JAK1_E25_STA100321	1504.0	1468.0	591.0	62.0	1141.0	560.0	1564.0	540.0	442.0	899.0	150.0	964.0	1720.0	1610.0	2134.0	1118.0	617.0	1422.0	558.0	732.0	2772.0	1008.0	906.0	338.0	1180.0	962.0	226.0	1087.0	1612.0	1080.0	316.0
JAK1_E24_STA100322	6965.0	7083.0	3723.0	294.0	5624.0	3074.0	7839.0	3512.0	2150.0	5749.0	815.0	4803.0	8967.0	7657.0	9231.0	6471.0	4021.0	9236.0	2877.0	3171.0	14551.0	3810.0	5066.0	2886.0	7037.0	5245.0	1379.0	6196.0	8085.0	7306.0	914.0
JAK1_E24_STA100323	7887.0	7829.0	3563.0	270.0	6788.0	4106.0	7633.0	3415.0	1914.0	5264.0	762.0	5922.0	9232.0	8449.0	11363.0	6414.0	3934.0	8804.0	2842.0	3443.0	15185.0	4868.0	6129.0	2469.0	7006.0	6309.0	1519.0	6085.0	9207.0	6892.0	1021.0
JAK1_E24_STA100324	2403.0	2431.0	1467.0	112.0	2295.0	1361.0	3043.0	1206.0	648.0	2036.0	336.0	1890.0	3011.0	2578.0	4124.0	2324.0	1244.0	2874.0	868.0	1454.0	5430.0	1880.0	2205.0	862.0	2580.0	1825.0	555.0	2433.0	3524.0	2586.0	610.0
JAK1_E23_STA100325	5756.0	7149.0	3492.0	280.0	5314.0	3209.0	6795.0	2830.0	1754.0	4245.0	786.0	4941.0	8477.0	7177.0	9973.0	6660.0	3396.0	6831.0	2511.0	2915.0	12908.0	3450.0	4825.0	2221.0	5860.0	4397.0	1210.0	5310.0	8112.0	6096.0	850.0
JAK1_E23_STA100326	1803.0	1337.0	1120.0	85.0	1454.0	766.0	2070.0	1011.0	490.0	1541.0	136.0	1392.0	2446.0	1882.0	2726.0	1832.0	1214.0	2165.0	772.0	899.0	4244.0	1190.0	1296.0	868.0	1906.0	1237.0	392.0	1996.0	2618.0	1766.0	264.0
JAK1_E22_STA100327	7344.0	7097.0	3730.0	399.0	6593.0	3380.0	7679.0	3084.0	2268.0	4617.0	896.0	4873.0	8912.0	8268.0	12347.0	5820.0	3971.0	7136.0	2472.0	3326.0	11626.0	4574.0	5483.0	2417.0	6896.0	5890.0	1564.0	5325.0	8134.0	6226.0	1074.0
JAK1_E22_STA100328	17305.0	17637.0	7531.0	713.0	12654.0	7072.0	15527.0	6027.0	4931.0	9482.0	1810.0	10762.0	19689.0	17726.0	22313.0	13754.0	7001.0	16265.0	5688.0	6469.0	25933.0	9613.0	11155.0	5125.0	13863.0	12170.0	2694.0	10866.0	16067.0	13120.0	1961.0
JAK1_E22_STA100329	9132.0	9550.0	5307.0	374.0	8353.0	4614.0	9952.0	3663.0	2564.0	6224.0	1020.0	6815.0	12207.0	10016.0	14233.0	9211.0	5228.0	10562.0	3914.0	4598.0	18524.0	5925.0	6566.0	3398.0	8764.0	6165.0	1654.0	7961.0	11420.0	8227.0	989.0
JAK1_E22_STA100330	3471.0	3656.0	1965.0	173.0	2928.0	1972.0	3816.0	804.0	949.0	2376.0	438.0	2563.0	4676.0	3768.0	5367.0	3219.0	1942.0	4695.0	1135.0	1236.0	7484.0	1767.0	2353.0	1180.0	3315.0	2651.0	468.0	2429.0	4025.0	3378.0	524.0
JAK1_E21_STA100331	2267.0	2395.0	1081.0	56.0	1947.0	1246.0	2679.0	880.0	627.0	1230.0	264.0	1646.0	3372.0	2677.0	3862.0	1798.0	1004.0	1868.0	823.0	1009.0	3470.0	1550.0	1574.0	458.0	2007.0	2056.0	517.0	1682.0	2994.0	2114.0	476.0
JAK1_E21_STA100332	8383.0	8815.0	4625.0	344.0	6226.0	4217.0	9378.0	3811.0	2455.0	6432.0	1005.0	6423.0	12647.0	9580.0	12222.0	8077.0	4522.0	9205.0	2974.0	4201.0	15344.0	4851.0	5291.0	3143.0	9360.0	7652.0	1304.0	6858.0	10767.0	9122.0	1464.0
JAK1_E21_STA100333	13017.0	16188.0	6385.0	893.0	7529.0	6866.0	14871.0	5334.0	4110.0	8026.0	1674.0	8280.0	15133.0	12765.0	18372.0	11038.0	6574.0	10111.0	3852.0	5184.0	16728.0	6915.0	8193.0	4276.0	10984.0	11087.0	2506.0	8203.0	13401.0	13455.0	2149.0
JAK1_E20_STA100334	3268.0	4290.0	1833.0	114.0	1938.0	1822.0	5389.0	2062.0	939.0	2419.0	452.0	2947.0	5185.0	3811.0	5870.0	3406.0	2344.0	2380.0	1173.0	1696.0	5223.0	2233.0	2328.0	1216.0	3893.0	2654.0	608.0	2205.0	4322.0	3881.0	389.0
JAK1_E20_STA100335	16107.0	17892.0	6044.0	497.0	9111.0	8371.0	20964.0	8534.0	4898.0	9062.0	2007.0	14069.0	23184.0	20623.0	28078.0	14777.0	8224.0	9177.0	4546.0	6740.0	20729.0	10513.0	11308.0	4713.0	15962.0	14606.0	2961.0	9736.0	17481.0	15128.0	1701.0
