	C21D00284	C21D00304	C21D00307	D21D00280T	D21D00289	D21D00299	D21D00327T	D21D00329T	D21D00335T	D21D00342T	M21D00265	M21D00302	N21D00272	N21D00273	N21D00290	N21D00301	N21D00310	P21D00308	P21D00309	P21D00322	P21D00332	P21D00334	P21D00338	P21D00341	P21D00343	P21D00346	S21D00266	U21D00339	X21D00263	X21D00340
JAK1_E25_STA100319	924.0	650.0	1459.0	1651.0	1008.0	410.0	1988.0	700.0	600.0	6150.0	1175.0	1970.0	1465.0	518.0	1420.0	899.0	174.0	1876.0	773.0	1451.0	406.0	1964.0	1689.0	496.0	384.0	453.0	499.0	84.0	1138.0	707.0
JAK1_E25_STA100320	938.0	590.0	1319.0	1669.0	1082.0	400.0	2138.0	812.0	634.0	7008.0	1233.0	1961.0	1545.0	606.0	1464.0	752.0	248.0	1970.0	721.0	1962.0	302.0	2148.0	1882.0	528.0	413.0	407.0	619.0	128.0	1080.0	636.0
JAK1_E25_STA100321	748.0	308.0	1006.0	1072.0	624.0	408.0	1411.0	416.0	460.0	4433.0	840.0	1288.0	1082.0	320.0	990.0	420.0	106.0	1272.0	649.0	1088.0	240.0	1603.0	1098.0	284.0	232.0	234.0	367.0	54.0	928.0	448.0
JAK1_E24_STA100322	2754.0	1624.0	4787.0	4343.0	4101.0	2428.0	7326.0	2182.0	2825.0	20955.0	4552.0	6166.0	5673.0	1765.0	7169.0	2170.0	628.0	6665.0	3245.0	6735.0	1197.0	7688.0	7353.0	1413.0	1764.0	2102.0	1984.0	350.0	3340.0	3017.0
JAK1_E24_STA100323	4228.0	1933.0	5129.0	5360.0	4319.0	2225.0	8978.0	3132.0	3169.0	24325.0	5759.0	7459.0	6238.0	1806.0	6778.0	3221.0	810.0	7726.0	3616.0	7399.0	1383.0	10255.0	7790.0	2178.0	2077.0	1991.0	2194.0	336.0	4767.0	3140.0
JAK1_E24_STA100324	1354.0	729.0	1805.0	1508.0	1416.0	649.0	2995.0	814.0	1222.0	8072.0	1518.0	2552.0	2261.0	518.0	1982.0	918.0	232.0	2529.0	1044.0	2523.0	456.0	2715.0	2564.0	650.0	633.0	628.0	646.0	114.0	1737.0	890.0
JAK1_E23_STA100325	3084.0	1658.0	4037.0	4118.0	3859.0	2087.0	6897.0	1814.0	2898.0	21194.0	4927.0	5975.0	5756.0	1438.0	5576.0	2220.0	446.0	5955.0	2696.0	6190.0	1278.0	9048.0	6941.0	1591.0	1677.0	1677.0	1754.0	188.0	3548.0	2218.0
JAK1_E23_STA100326	684.0	468.0	1014.0	1021.0	1185.0	524.0	2408.0	613.0	762.0	6282.0	1177.0	1466.0	1590.0	300.0	1846.0	626.0	86.0	2140.0	809.0	1890.0	284.0	1878.0	2025.0	336.0	384.0	550.0	572.0	82.0	954.0	806.0
JAK1_E22_STA100327	3884.0	2037.0	4748.0	4496.0	3654.0	1796.0	7722.0	2658.0	2650.0	22512.0	4726.0	7254.0	5472.0	1441.0	5427.0	3134.0	730.0	6488.0	3717.0	6056.0	1511.0	8108.0	6885.0	1521.0	1643.0	1665.0	1793.0	330.0	4561.0	2945.0
JAK1_E22_STA100328	8133.0	4410.0	10340.0	9686.0	8425.0	3871.0	16388.0	5930.0	6459.0	47856.0	10779.0	13383.0	11562.0	3446.0	11879.0	6873.0	1433.0	12523.0	7460.0	13269.0	3203.0	18836.0	14269.0	3470.0	3621.0	3926.0	4419.0	694.0	9678.0	6153.0
