	D21D00353	D21D00358T	D21D00362	D21D00364	E21D00361	N21D00347	N21D00348	P21D00345	P21D00352	P21D00354	P21D00356	P21D00357	P21D00359	P21D00365	X21D00316	X21D00317	X21D00318	X21D00355
JAK1_E25_STA100319	1340.0	3282.0	5402.0	1663.0	2761.0	2431.0	1792.0	174.0	2224.0	2652.0	3505.0	2204.0	4356.0	1811.0	2295.0	845.0	1342.0	2248.0
JAK1_E25_STA100320	1376.0	2963.0	5524.0	1916.0	2996.0	2674.0	2109.0	256.0	2521.0	3447.0	4082.0	2337.0	4523.0	1844.0	2230.0	836.0	1570.0	2249.0
JAK1_E25_STA100321	1130.0	1816.0	4334.0	1172.0	2590.0	2202.0	1104.0	116.0	1860.0	2268.0	2769.0	1583.0	2690.0	1230.0	1348.0	816.0	1292.0	1872.0
JAK1_E24_STA100322	4036.0	10972.0	19173.0	5677.0	11991.0	9508.0	5435.0	877.0	7750.0	10138.0	14391.0	10181.0	10918.0	7368.0	5655.0	2458.0	5654.0	7555.0
JAK1_E24_STA100323	5436.0	11423.0	20286.0	5931.0	14417.0	10683.0	7304.0	1361.0	11025.0	13526.0	16746.0	9867.0	13717.0	7679.0	8121.0	3755.0	6806.0	8623.0
JAK1_E24_STA100324	1858.0	3830.0	6903.0	2122.0	4432.0	3492.0	2215.0	468.0	2732.0	3992.0	5494.0	3380.0	4289.0	2668.0	2686.0	1408.0	2176.0	3416.0
JAK1_E23_STA100325	4424.0	10393.0	19488.0	4879.0	13518.0	9053.0	5932.0	943.0	8110.0	12584.0	13400.0	8489.0	11743.0	6766.0	6476.0	3036.0	5388.0	8430.0
JAK1_E23_STA100326	1114.0	2922.0	5926.0	1550.0	2154.0	2719.0	1294.0	268.0	1709.0	2843.0	4439.0	3103.0	3026.0	2086.0	1176.0	474.0	1631.0	2198.0
JAK1_E22_STA100327	5222.0	11559.0	20000.0	5506.0	12854.0	9289.0	6616.0	1364.0	8559.0	11980.0	13654.0	10215.0	12827.0	7057.0	7377.0	3137.0	5833.0	8947.0
JAK1_E22_STA100328	11616.0	23895.0	42807.0	12505.0	29794.0	22395.0	15502.0	2185.0	18784.0	26080.0	29753.0	20148.0	28899.0	16559.0	15400.0	6564.0	13394.0	18108.0
JAK1_E22_STA100329	7696.0	18180.0	31682.0	8816.0	15884.0	14221.0	11048.0	1377.0	10460.0	16791.0	23697.0	14630.0	17767.0	12570.0	12364.0	4227.0	10415.0	12654.0
JAK1_E22_STA100330	2459.0	7209.0	11399.0	2717.0	7813.0	5646.0	4636.0	554.0	5092.0	6132.0	8379.0	4984.0	6626.0	4105.0	4130.0	1510.0	3271.0	4286.0
JAK1_E21_STA100331	1481.0	3019.0	6049.0	1569.0	3926.0	3308.0	2274.0	219.0	2298.0	3841.0	4011.0	2884.0	3852.0	2078.0	2335.0	1012.0	1758.0	2371.0
JAK1_E21_STA100332	5543.0	14382.0	26480.0	7473.0	16696.0	15163.0	10034.0	1628.0	12625.0	15260.0	21072.0	14013.0	15014.0	9223.0	9838.0	4397.0	9707.0	11643.0
JAK1_E21_STA100333	8746.0	18616.0	34110.0	8526.0	31533.0	16678.0	14193.0	1700.0	16882.0	20876.0	22782.0	15912.0	18923.0	11651.0	13643.0	4240.0	9018.0	14222.0
JAK1_E20_STA100334	2241.0	5823.0	13131.0	2841.0	7394.0	5952.0	3850.0	710.0	3760.0	7416.0	7600.0	5921.0	5176.0	3617.0	4247.0	1565.0	3695.0	4912.0
JAK1_E20_STA100335	10227.0	27824.0	49640.0	10707.0	31137.0	27390.0	21555.0	2652.0	23411.0	32134.0	35063.0	28404.0	24505.0	17864.0	20573.0	6952.0	18262.0	21466.0
JAK1_E20_STA100336	9408.0	25617.0	52183.0	12149.0	33195.0	25585.0	18908.0	2563.0	22974.0	32587.0	35044.0	26520.0	24925.0	14616.0	21252.0	7580.0	17300.0	22080.0
JAK1_E20_STA100337	7684.0	20240.0	43878.0	9749.0	34242.0	20826.0	15590.0	2282.0	20076.0	27881.0	28650.0	20905.0	23793.0	11760.0	17290.0	7036.0	13649.0	19143.0
JAK1_E19_STA100338	3953.0	10670.0	22623.0	4339.0	16269.0	9610.0	6783.0	750.0	9288.0	11660.0	13059.0	9685.0	9839.0	5888.0	7119.0	2575.0	5904.0	9033.0
JAK1_E19_STA100339	3247.0	11207.0	22383.0	5136.0	13139.0	9906.0	6511.0	676.0	7571.0	11301.0	13461.0	10332.0	8355.0	5920.0	5805.0	2392.0	6492.0	7654.0
JAK1_E19_STA101785	7043.0	18461.0	35409.0	9916.0	22999.0	19150.0	11739.0	2166.0	15507.0	19805.0	25271.0	16968.0	16373.0	11689.0	11317.0	3659.0	10199.0	14572.0
JAK1_E18_STA100341	10378.0	32621.0	57332.0	12702.0	35192.0	24815.0	22895.0	2834.0	25014.0	40568.0	37195.0	25739.0	26813.0	18660.0	21183.0	7793.0	18082.0	27236.0
JAK1_E18_STA100342	1523.0	3562.0	6622.0	1387.0	2681.0	3824.0	2251.0	398.0	2912.0	3255.0	3950.0	3683.0	4160.0	2100.0	2694.0	1058.0	1377.0	3206.0
JAK1_E17_STA100343	5075.0	12038.0	28464.0	5852.0	19794.0	11093.0	8016.0	1015.0	9754.0	12701.0	14830.0	10834.0	10835.0	7827.0	7678.0	3416.0	6161.0	11073.0
JAK1_E17_STA100344	4622.0	12128.0	24962.0	5060.0	18120.0	12072.0	7638.0	1154.0	9646.0	12468.0	15784.0	11753.0	10351.0	7242.0	7158.0	2444.0	7188.0	10254.0
JAK1_E17_STA100345	3279.0	9564.0	18481.0	4076.0	12412.0	8579.0	7425.0	762.0	8217.0	10695.0	10954.0	7506.0	8745.0	4818.0	7064.0	2214.0	5309.0	7140.0
JAK1_E16_STA100346	4683.0	15658.0	34535.0	6546.0	21183.0	13957.0	11243.0	1113.0	10570.0	18137.0	18978.0	16746.0	13074.0	8314.0	12371.0	4824.0	10996.0	15281.0
JAK1_E16_STA100347	2443.0	6687.0	15886.0	3021.0	7465.0	5966.0	5431.0	555.0	4796.0	6569.0	8059.0	7395.0	6326.0	3801.0	5112.0	2264.0	3581.0	6109.0
JAK1_E15_STA100348	6630.0	18482.0	41875.0	8026.0	27659.0	18437.0	14537.0	1724.0	14683.0	23913.0	25081.0	17443.0	15956.0	11529.0	14408.0	5587.0	11837.0	16333.0
JAK1_E15_STA100349	3538.0	10277.0	20725.0	3934.0	15057.0	9663.0	9046.0	734.0	10736.0	15278.0	13420.0	8962.0	8817.0	5382.0	9739.0	2807.0	6789.0	7910.0
