	C21D00402	C21D00444	D21D00412	M21D00435	N21D00374	N21D00379	N21D00401	N21D00404	N21D00438	N21D00440	P21D00366	P21D00372	P21D00373	P21D00386	P21D00389	P21D00391	P21D00395	P21D00396	P21D00397	P21D00398	P21D00399	P21D00405	P21D00408	P21D00436	P21D00437	P21D00442	P21D00447	S21D00410	X20D02486	X21D00400T
JAK1_E25_STA100319	660.0	1103.0	764.0	1163.0	2238.0	1884.0	4621.0	918.0	1061.0	158.0	3275.0	553.0	800.0	1133.0	72.0	213.0	2098.0	2997.0	2135.0	2106.0	6005.0	2479.0	1117.0	3392.0	2208.0	4181.0	184.0	283.0	1820.0	1424.0
JAK1_E25_STA100320	806.0	947.0	737.0	1372.0	3722.0	2173.0	5639.0	1165.0	1494.0	58.0	4067.0	476.0	1040.0	1598.0	188.0	298.0	2324.0	3719.0	2187.0	2433.0	6870.0	2807.0	1539.0	4655.0	3582.0	4631.0	214.0	303.0	2781.0	1541.0
JAK1_E25_STA100321	414.0	581.0	546.0	881.0	1683.0	1046.0	3417.0	732.0	790.0	34.0	1998.0	244.0	512.0	826.0	38.0	333.0	1272.0	2324.0	1356.0	1759.0	3558.0	1572.0	617.0	2629.0	1624.0	2976.0	185.0	158.0	1642.0	1084.0
JAK1_E24_STA100322	2662.0	3970.0	2098.0	4263.0	8695.0	5228.0	15370.0	4077.0	4275.0	286.0	11439.0	1873.0	3704.0	3815.0	462.0	645.0	8610.0	8692.0	6649.0	7222.0	21417.0	9092.0	3568.0	10928.0	10734.0	12276.0	1000.0	832.0	7744.0	6416.0
JAK1_E24_STA100323	3668.0	3860.0	3195.0	5313.0	12238.0	7360.0	20031.0	3318.0	4334.0	190.0	12492.0	1790.0	4711.0	4003.0	330.0	977.0	9413.0	12195.0	7988.0	8523.0	22971.0	9860.0	4749.0	14260.0	12276.0	16802.0	887.0	1123.0	9604.0	6682.0
JAK1_E24_STA100324	865.0	1178.0	998.0	1399.0	2376.0	1826.0	5131.0	1618.0	1378.0	70.0	3464.0	495.0	1092.0	893.0	180.0	380.0	2362.0	3022.0	2038.0	2296.0	6185.0	3254.0	1331.0	3901.0	3433.0	4549.0	290.0	162.0	2290.0	2208.0
JAK1_E23_STA100325	2345.0	3437.0	2050.0	4608.0	7744.0	5132.0	13343.0	3326.0	3354.0	155.0	9287.0	1463.0	3106.0	1994.0	379.0	513.0	6771.0	8569.0	5927.0	6964.0	17936.0	8416.0	3661.0	11435.0	9817.0	12132.0	665.0	952.0	5774.0	5842.0
JAK1_E23_STA100326	432.0	1079.0	550.0	844.0	1530.0	1289.0	2803.0	845.0	895.0	62.0	3155.0	427.0	850.0	767.0	48.0	120.0	2061.0	1840.0	1197.0	1453.0	5587.0	2213.0	796.0	2608.0	1985.0	2500.0	142.0	108.0	1418.0	1416.0
JAK1_E22_STA100327	3194.0	3359.0	3103.0	4971.0	10016.0	6769.0	17423.0	3490.0	4452.0	206.0	11451.0	1540.0	3962.0	2644.0	310.0	575.0	8303.0	12199.0	7688.0	7833.0	19213.0	9124.0	3062.0	11714.0	9273.0	14425.0	782.0	878.0	8251.0	5247.0
JAK1_E22_STA100328	7616.0	8599.0	6147.0	12979.0	24342.0	17784.0	41864.0	7013.0	10557.0	614.0	26494.0	4727.0	10266.0	5923.0	983.0	1874.0	20599.0	27847.0	17776.0	20097.0	50115.0	23070.0	8590.0	29049.0	22557.0	36367.0	2425.0	2324.0	21233.0	13750.0
JAK1_E22_STA100329	4435.0	6013.0	2772.0	6497.0	11360.0	9056.0	21464.0	4150.0	7007.0	351.0	17926.0	3060.0	5213.0	3343.0	640.0	1070.0	12216.0	13855.0	9845.0	11762.0	32664.0	13742.0	5356.0	16906.0	13695.0	18871.0	916.0	1020.0	11553.0	8488.0
