	C21D00575	D21D00569T	D21D00578T	D21D00591	D21D00593	D21D00597	D21D00609T	D21D00611T	M21D00568	M21D00589	N21D00564	N21D00580	N21D00608	P21D00567	P21D00573	P21D00584	P21D00586	P21D00588	P21D00594	P21D00595	P21D00596	P21D00598	P21D00599	P21D00605	P21D00606	T21D00581	X21D00548T	X21D00552	X21D00558	X21D00587	X21D00600
JAK1_E25_STA100319	1780.0	1259.0	1304.0	1173.0	1215.0	676.0	148.0	1072.0	1384.0	1666.0	733.0	1802.0	2603.0	752.0	2823.0	1541.0	2286.0	2910.0	1930.0	432.0	1688.0	2974.0	1267.0	1188.0	1319.0	2358.0	945.0	710.0	561.0	763.0	46.0
JAK1_E25_STA100320	1862.0	1208.0	1857.0	1547.0	1601.0	577.0	84.0	1443.0	1717.0	1655.0	775.0	1714.0	2946.0	922.0	3246.0	1705.0	2994.0	3084.0	2187.0	342.0	1737.0	3482.0	1817.0	1496.0	1573.0	2379.0	1089.0	808.0	567.0	1026.0	58.0
JAK1_E25_STA100321	1303.0	832.0	1066.0	757.0	913.0	577.0	108.0	807.0	985.0	1026.0	705.0	1214.0	1662.0	533.0	2206.0	1071.0	1168.0	1984.0	1260.0	302.0	1040.0	2199.0	1058.0	934.0	876.0	1800.0	840.0	640.0	423.0	538.0	84.0
JAK1_E24_STA100322	7098.0	4215.0	7213.0	4891.0	5343.0	3035.0	728.0	6281.0	6871.0	5752.0	3500.0	6567.0	9337.0	3356.0	13092.0	6742.0	8309.0	8369.0	7938.0	1527.0	5284.0	12718.0	7317.0	5073.0	4008.0	8339.0	4518.0	3074.0	2367.0	3584.0	318.0
JAK1_E24_STA100323	7931.0	5284.0	6466.0	5225.0	5112.0	3247.0	519.0	5762.0	7696.0	6485.0	3301.0	5867.0	10360.0	3931.0	12284.0	7315.0	9235.0	10303.0	8006.0	1539.0	6692.0	13182.0	7741.0	5446.0	4449.0	9257.0	4949.0	3341.0	2454.0	3038.0	235.0
JAK1_E24_STA100324	2811.0	1852.0	2297.0	1890.0	2034.0	893.0	194.0	1847.0	1710.0	2247.0	1172.0	1767.0	3536.0	953.0	4275.0	2486.0	3719.0	3514.0	2617.0	499.0	2297.0	4370.0	2438.0	1523.0	1571.0	3114.0	1983.0	1168.0	832.0	1250.0	88.0
JAK1_E23_STA100325	6906.0	3883.0	5883.0	4607.0	4728.0	2725.0	535.0	4795.0	5003.0	5179.0	2817.0	4554.0	7951.0	2650.0	11507.0	6212.0	8412.0	7450.0	6317.0	1280.0	5151.0	12394.0	6189.0	4576.0	4347.0	6795.0	3994.0	2718.0	2252.0	2761.0	242.0
JAK1_E23_STA100326	2058.0	1029.0	1880.0	1468.0	1362.0	532.0	126.0	1333.0	1395.0	1285.0	687.0	1252.0	2807.0	716.0	3195.0	1333.0	2553.0	2103.0	1870.0	318.0	1324.0	3022.0	1611.0	1177.0	1005.0	1672.0	754.0	674.0	714.0	703.0	98.0
JAK1_E22_STA100327	6502.0	5294.0	7082.0	5079.0	5313.0	2759.0	507.0	5472.0	6080.0	6285.0	3236.0	6011.0	8485.0	2744.0	11932.0	6828.0	8340.0	8640.0	7359.0	1449.0	6273.0	11860.0	6041.0	4564.0	3942.0	8895.0	4703.0	2882.0	1930.0	3203.0	258.0
JAK1_E22_STA100328	15508.0	10720.0	14125.0	10592.0	11479.0	7033.0	1144.0	13463.0	15661.0	12665.0	6623.0	13647.0	19795.0	7960.0	25493.0	15417.0	18206.0	17794.0	17585.0	3286.0	13206.0	27819.0	14370.0	11443.0	8840.0	20285.0	10023.0	6138.0	5020.0	6672.0	615.0
JAK1_E22_STA100329	11049.0	6054.0	8837.0	7745.0	7558.0	4094.0	781.0	7545.0	7090.0	8804.0	4606.0	6447.0	13757.0	4292.0	16769.0	8651.0	12399.0	11774.0	11122.0	1361.0	8668.0	17499.0	9589.0	6415.0	5686.0	10891.0	4967.0	4033.0	3284.0	4623.0	273.0
JAK1_E22_STA100330	3988.0	2016.0	3419.0	2861.0	3231.0	1447.0	308.0	3078.0	3492.0	2423.0	1670.0	3167.0	5590.0	1594.0	6004.0	2928.0	4710.0	4434.0	4158.0	443.0	2748.0	7331.0	4367.0	2884.0	2009.0	3594.0	1717.0	1367.0	1080.0	1338.0	86.0
