	C21D00633	D21D00614T	D21D00615T	D21D00631T	D21D00632T	D21D00635	D21D00644T	D21D00647T	D21D00654T	M21D00642	M21D00670	M21D00671	M21D00673	M21D00676	N21D00620	N21D00643	N21D00645	N21D00657	N21D00675	P21D00617	P21D00634	P21D00636	P21D00639	P21D00640	P21D00641	P21D00646	P21D00651	P21D00661	P21D00669	P21D00674	P21D00678	P21D00679
JAK1_E25_STA100319	300.0	2115.0	1358.0	234.0	2767.0	628.0	2109.0	1270.0	1594.0	1473.0	672.0	324.0	88.0	1963.0	3084.0	1099.0	1749.0	3249.0	1688.0	679.0	483.0	2708.0	760.0	1933.0	1403.0	648.0	2060.0	1335.0	1075.0	1591.0	2161.0	1002.0
JAK1_E25_STA100320	382.0	3175.0	1822.0	300.0	3729.0	831.0	2707.0	1993.0	2345.0	2329.0	1358.0	631.0	163.0	2588.0	4056.0	1587.0	2287.0	5318.0	2241.0	921.0	503.0	3784.0	931.0	2167.0	1514.0	728.0	2898.0	1934.0	1320.0	2724.0	2923.0	1456.0
JAK1_E25_STA100321	362.0	1762.0	1324.0	198.0	2088.0	751.0	1455.0	1154.0	1082.0	1272.0	826.0	354.0	112.0	1526.0	2330.0	831.0	1439.0	2338.0	1381.0	490.0	281.0	2128.0	575.0	1138.0	960.0	408.0	1340.0	1184.0	677.0	1548.0	1577.0	886.0
JAK1_E24_STA100322	1152.0	8164.0	5611.0	1098.0	9241.0	4593.0	9966.0	7184.0	7324.0	6410.0	3817.0	2023.0	858.0	7263.0	13372.0	4745.0	6349.0	10544.0	6194.0	3311.0	1793.0	12493.0	3972.0	5580.0	4199.0	1762.0	10720.0	4867.0	3854.0	7469.0	8760.0	5219.0
JAK1_E24_STA100323	1557.0	9491.0	5659.0	1214.0	12156.0	3946.0	8891.0	6843.0	6650.0	7020.0	4168.0	1107.0	747.0	7590.0	13899.0	5008.0	7428.0	11853.0	7144.0	3225.0	1732.0	12164.0	3622.0	6566.0	5214.0	2125.0	9463.0	5868.0	4579.0	7918.0	8989.0	4632.0
JAK1_E24_STA100324	420.0	2680.0	1751.0	295.0	2511.0	1359.0	3040.0	2290.0	2394.0	2212.0	1364.0	603.0	112.0	2459.0	4408.0	1591.0	2084.0	3396.0	2455.0	1067.0	540.0	4075.0	1047.0	1692.0	1586.0	657.0	3058.0	1771.0	1384.0	1958.0	2932.0	1378.0
JAK1_E23_STA100325	1242.0	8418.0	5261.0	968.0	9085.0	3906.0	8375.0	6389.0	6178.0	6515.0	3571.0	1795.0	791.0	6592.0	11320.0	4246.0	5707.0	9661.0	5632.0	2868.0	1664.0	10727.0	3054.0	5138.0	4464.0	1932.0	8877.0	5522.0	3959.0	6497.0	8643.0	4473.0
JAK1_E23_STA100326	128.0	1561.0	1213.0	136.0	1585.0	721.0	2024.0	1587.0	1443.0	1216.0	671.0	298.0	103.0	1408.0	2208.0	1107.0	1036.0	1923.0	1067.0	742.0	343.0	2898.0	794.0	931.0	689.0	361.0	2138.0	976.0	673.0	953.0	2243.0	911.0
JAK1_E22_STA100327	1510.0	8660.0	5348.0	1184.0	11449.0	4064.0	7868.0	5973.0	6215.0	6997.0	3125.0	1811.0	447.0	6205.0	12178.0	4718.0	7278.0	12269.0	6259.0	2895.0	1960.0	11097.0	3328.0	6600.0	4934.0	2077.0	9153.0	6240.0	3927.0	6598.0	7876.0	4407.0
JAK1_E22_STA100328	3783.0	21750.0	13040.0	3203.0	28733.0	9134.0	20373.0	15209.0	15416.0	16257.0	7422.0	4388.0	1787.0	17507.0	30653.0	12345.0	18341.0	27750.0	17000.0	6546.0	3977.0	26729.0	8062.0	15404.0	12521.0	5624.0	22861.0	15012.0	10366.0	20150.0	19162.0	10735.0
JAK1_E22_STA100329	1353.0	11120.0	7064.0	1174.0	11630.0	4505.0	11570.0	8990.0	8547.0	8513.0	4202.0	2219.0	744.0	9240.0	17683.0	6498.0	8134.0	13413.0	8611.0	4233.0	2558.0	16125.0	4584.0	6824.0	6456.0	2934.0	13582.0	7546.0	5678.0	7227.0	11959.0	5954.0
JAK1_E22_STA100330	556.0	4363.0	2833.0	527.0	6446.0	2454.0	3048.0	4109.0	4109.0	3229.0	2054.0	928.0	667.0	4350.0	8644.0	2722.0	3564.0	6749.0	3841.0	1804.0	1115.0	6969.0	2090.0	3445.0	2110.0	1281.0	6314.0	2951.0	2330.0	3418.0	5331.0	3143.0
JAK1_E21_STA100331	542.0	2772.0	1412.0	344.0	3822.0	1239.0	2729.0	1749.0	2275.0	1998.0	784.0	435.0	160.0	1916.0	4367.0	1611.0	1724.0	4455.0	1849.0	696.0	461.0	3419.0	972.0	2305.0	1321.0	644.0	2791.0	1858.0	1139.0	2233.0	2276.0	1168.0
JAK1_E21_STA100332	1262.0	11710.0	6666.0	1346.0	15376.0	6836.0	15034.0	11020.0	12421.0	8669.0	4345.0	3026.0	1465.0	10086.0	22731.0	6360.0	9269.0	18443.0	10228.0	3922.0	2464.0	17548.0	5159.0	8742.0	4664.0	2808.0	17457.0	8168.0	5967.0	10858.0	16484.0	7633.0
JAK1_E21_STA100333	2886.0	14415.0	8027.0	2341.0	23976.0	8602.0	14049.0	10579.0	11192.0	11976.0	4897.0	2888.0	1635.0	9110.0	21593.0	7230.0	10629.0	20368.0	11116.0	3903.0	3174.0	17572.0	5657.0	10792.0	7187.0	3890.0	15790.0	10820.0	6617.0	15018.0	13105.0	8851.0
JAK1_E20_STA100334	563.0	4271.0	2185.0	267.0	5543.0	2643.0	5082.0	3356.0	3259.0	3587.0	1086.0	547.0	180.0	2959.0	6648.0	2335.0	2430.0	5222.0	3656.0	1066.0	984.0	6532.0	1662.0	2757.0	1460.0	1140.0	5576.0	3286.0	2218.0	4252.0	4726.0	1997.0
JAK1_E20_STA100335	2626.0	18778.0	10089.0	1366.0	31200.0	9397.0	20748.0	15802.0	17478.0	17071.0	4622.0	2147.0	1203.0	11958.0	32148.0	9227.0	13853.0	28199.0	17246.0	5384.0	4525.0	28856.0	8080.0	14805.0	7713.0	5357.0	24031.0	15637.0	11940.0	21460.0	19475.0	9893.0
JAK1_E20_STA100336	2759.0	20091.0	10504.0	1364.0	33017.0	10153.0	22801.0	16382.0	17973.0	17406.0	4890.0	1899.0	1225.0	12969.0	34898.0	9936.0	14937.0	29393.0	17664.0	5217.0	4926.0	30694.0	8534.0	15940.0	8260.0	5017.0	25544.0	15138.0	11637.0	22521.0	21428.0	10633.0
JAK1_E20_STA100337	2752.0	17850.0	9058.0	1420.0	35201.0	12584.0	20202.0	13419.0	15133.0	16599.0	4434.0	1481.0	2557.0	10518.0	30892.0	9949.0	14066.0	25639.0	14607.0	4226.0	4601.0	24915.0	7307.0	14598.0	7086.0	4202.0	21505.0	12732.0	9681.0	24510.0	18024.0	11274.0
JAK1_E19_STA100338	1209.0	8118.0	3958.0	745.0	13127.0	5732.0	8878.0	5100.0	5910.0	6548.0	1843.0	725.0	404.0	4615.0	13192.0	4271.0	5241.0	10893.0	6449.0	1675.0	1764.0	10764.0	2920.0	5878.0	3132.0	1676.0	8228.0	5870.0	3523.0	8823.0	7335.0	3828.0
JAK1_E19_STA100339	547.0	6181.0	4115.0	638.0	11057.0	4911.0	7820.0	6089.0	6655.0	5007.0	2212.0	1044.0	662.0	5105.0	12650.0	4401.0	4890.0	10401.0	5713.0	2242.0	1418.0	10655.0	2878.0	4528.0	2388.0	1858.0	10285.0	4946.0	3754.0	7936.0	8292.0	4747.0
JAK1_E19_STA101785	1432.0	11391.0	6846.0	1367.0	21426.0	9408.0	15775.0	10871.0	12469.0	10007.0	4049.0	2886.0	2183.0	9418.0	24056.0	7116.0	10007.0	18949.0	9851.0	3703.0	2414.0	18745.0	5603.0	8901.0	4788.0	3058.0	18725.0	9850.0	6651.0	17348.0	14442.0	8445.0
JAK1_E18_STA100341	3525.0	21399.0	11291.0	1454.0	38924.0	12207.0	21916.0	16136.0	16440.0	19084.0	5770.0	2571.0	1981.0	12882.0	37137.0	12579.0	13565.0	28885.0	18199.0	6811.0	4607.0	28000.0	8820.0	14895.0	8437.0	5464.0	25414.0	16010.0	11380.0	25295.0	17858.0	10690.0
