	D21D00904T	D21D00908T	D21D00917T	D21D00921T	D21D00937	D21D00941T	D21D00942	D21D00943	D21D00948	D21D00949	D21D00952	N21D00923	N21D00932	N21D00946	U21D00938	X21D00911	X21D00918HPV
JAK1_E25_STA100319	2403.0	2672.0	3009.0	4527.0	910.0	2033.0	1091.0	1839.0	1809.0	1248.0	3718.0	3971.0	8273.0	3240.0	722.0	2752.0	2555.0
JAK1_E25_STA100320	2991.0	4503.0	4506.0	6476.0	1677.0	2637.0	944.0	1736.0	2176.0	1606.0	5821.0	5596.0	8198.0	3793.0	1080.0	3550.0	4202.0
JAK1_E25_STA100321	1708.0	2133.0	2100.0	3046.0	973.0	1160.0	643.0	1188.0	1448.0	1032.0	2588.0	2487.0	4974.0	2077.0	548.0	2186.0	1812.0
JAK1_E24_STA100322	6740.0	18370.0	12593.0	14154.0	3206.0	8711.0	3810.0	6146.0	6144.0	4629.0	15172.0	9470.0	17758.0	8355.0	2491.0	14423.0	12425.0
JAK1_E24_STA100323	10895.0	17616.0	12267.0	17057.0	3986.0	8335.0	3892.0	6779.0	9145.0	5811.0	17697.0	12660.0	25316.0	11454.0	2719.0	15045.0	14506.0
JAK1_E24_STA100324	2914.0	4434.0	4770.0	4926.0	1282.0	3334.0	1468.0	1864.0	2778.0	1920.0	6667.0	4170.0	8010.0	3952.0	866.0	4586.0	5271.0
JAK1_E23_STA100325	7060.0	12513.0	9004.0	11930.0	2870.0	7244.0	3196.0	4846.0	6623.0	5048.0	14278.0	9363.0	15793.0	9255.0	2336.0	11852.0	12038.0
JAK1_E23_STA100326	1284.0	2068.0	3229.0	2657.0	683.0	2255.0	833.0	1116.0	1300.0	1134.0	4418.0	2182.0	4065.0	1682.0	672.0	2485.0	2406.0
JAK1_E22_STA100327	8960.0	13081.0	11916.0	14276.0	4123.0	8764.0	2891.0	6703.0	9209.0	5383.0	16016.0	13468.0	28760.0	14809.0	3106.0	13084.0	13379.0
JAK1_E22_STA100328	24463.0	33690.0	27653.0	31166.0	8856.0	20552.0	7607.0	14229.0	16178.0	12466.0	34164.0	26821.0	53111.0	28454.0	5744.0	35187.0	29457.0
JAK1_E22_STA100329	11592.0	19722.0	18854.0	20389.0	5156.0	13571.0	5175.0	7777.0	9707.0	6975.0	25616.0	15058.0	28917.0	15615.0	3801.0	21689.0	19055.0
JAK1_E22_STA100330	4227.0	7280.0	6997.0	7391.0	1945.0	4873.0	2177.0	2635.0	3655.0	3042.0	8759.0	5583.0	11087.0	4408.0	1579.0	7524.0	7092.0
