	C21D00958	C21D00961	C21D00964	D21D00987T	M21D00956	M21D01001	M21D01009	N21D00959	P21D00955	P21D00957M	P21D00966	P21D00968M	P21D00969M	P21D00970	P21D00971	P21D00973M	P21D00974M	P21D00979M	P21D00981M	P21D00983	P21D00984	P21D00985	P21D00991M	P21D00994M	P21D00995M	P21D00996M	P21D00998	P21D01005	P21D01016M	P21D01019	X21D00967
JAK1_E25_STA100319	1786.0	3619.0	1927.0	668.0	2909.0	1067.0	2350.0	2497.0	332.0	1285.0	550.0	1081.0	2161.0	1534.0	898.0	922.0	1244.0	1756.0	4601.0	1113.0	2399.0	916.0	1369.0	2797.0	2854.0	693.0	1081.0	335.0	2434.0	1927.0	3710.0
JAK1_E25_STA100320	2375.0	4647.0	2392.0	736.0	4292.0	1501.0	3128.0	3338.0	427.0	1613.0	738.0	1397.0	3002.0	2096.0	1178.0	1146.0	1636.0	2499.0	6214.0	1682.0	3387.0	1611.0	1791.0	4005.0	3489.0	1065.0	1736.0	528.0	3524.0	2105.0	5302.0
JAK1_E25_STA100321	1392.0	2439.0	1655.0	612.0	1980.0	580.0	1860.0	1663.0	144.0	1027.0	406.0	784.0	1735.0	1076.0	824.0	726.0	850.0	1692.0	3911.0	1036.0	1696.0	1003.0	1094.0	2845.0	2048.0	578.0	823.0	218.0	1815.0	1027.0	2974.0
JAK1_E24_STA100322	7752.0	9473.0	5956.0	3617.0	11613.0	4023.0	7348.0	8666.0	1128.0	5883.0	2151.0	4712.0	7809.0	5538.0	3152.0	4212.0	5423.0	8041.0	14187.0	4830.0	12173.0	4572.0	4549.0	8996.0	9581.0	2640.0	7330.0	1210.0	9717.0	6873.0	18304.0
JAK1_E24_STA100323	7078.0	11072.0	7528.0	3107.0	12464.0	4114.0	8358.0	9400.0	1160.0	5709.0	2278.0	4102.0	9260.0	6238.0	3494.0	4662.0	5564.0	7470.0	16903.0	5458.0	11388.0	4864.0	5257.0	11151.0	10767.0	2902.0	6378.0	820.0	10309.0	7218.0	17042.0
JAK1_E24_STA100324	2261.0	3612.0	2794.0	1172.0	4565.0	1500.0	3228.0	2752.0	418.0	1952.0	790.0	1414.0	2771.0	1755.0	1424.0	1426.0	2158.0	2972.0	5945.0	1990.0	4355.0	1981.0	1435.0	4011.0	3910.0	1060.0	2378.0	260.0	4038.0	2818.0	5922.0
JAK1_E23_STA100325	6764.0	9000.0	6871.0	2955.0	11611.0	3428.0	6915.0	7471.0	975.0	5077.0	2739.0	4425.0	7683.0	5067.0	3035.0	4194.0	5254.0	7729.0	12803.0	4820.0	10112.0	4128.0	3887.0	9530.0	10023.0	2127.0	5995.0	877.0	8561.0	6339.0	15358.0
JAK1_E23_STA100326	1502.0	2407.0	996.0	602.0	2129.0	841.0	1597.0	1358.0	174.0	1478.0	394.0	1039.0	1659.0	971.0	585.0	746.0	1175.0	1470.0	3335.0	923.0	2889.0	1225.0	886.0	2084.0	1785.0	728.0	1551.0	252.0	2650.0	1744.0	3600.0
JAK1_E22_STA100327	6974.0	12071.0	7882.0	3160.0	10900.0	3629.0	9733.0	8395.0	1100.0	5149.0	2291.0	4912.0	8288.0	7102.0	4220.0	4371.0	5379.0	7437.0	17423.0	5870.0	11053.0	4793.0	5529.0	12506.0	12213.0	2849.0	5114.0	1280.0	9685.0	7324.0	16077.0
JAK1_E22_STA100328	18732.0	24923.0	16952.0	8377.0	25909.0	9231.0	20776.0	22638.0	2870.0	12565.0	6308.0	9802.0	18724.0	15785.0	8471.0	10808.0	12550.0	18214.0	38186.0	13067.0	24528.0	11734.0	11736.0	27793.0	26174.0	5859.0	13942.0	2491.0	21225.0	17932.0	37696.0
