	C21D01093	D21D01026T	D21D01032T	D21D01039T	D21D01059T	D21D01061T	D21D01081	D21D01082	D21D01087T	D21D01090	D21D01094T	D21D01102T	E21D01053T	M21D01116	N19D01411	N21D01072	N21D01084	N21D01085	N21D01113	O21D01018T	P21D01091M	P21D01092M	P21D01098	P21D01099	P21D01104	T21D01047	U21D01089	U21D01103	X21D01017	X21D01086	X21D01095
JAK1_E25_STA100319	786.0	871.0	1580.0	2267.0	1100.0	592.0	1114.0	1084.0	2804.0	417.0	2482.0	693.0	1900.0	1815.0	586.0	144.0	1040.0	582.0	1051.0	264.0	1249.0	265.0	1241.0	1783.0	1262.0	232.0	863.0	566.0	758.0	5202.0	1393.0
JAK1_E25_STA100320	772.0	952.0	1783.0	2172.0	1303.0	535.0	1365.0	988.0	3326.0	402.0	2882.0	654.0	2356.0	1791.0	693.0	156.0	1181.0	606.0	957.0	260.0	1700.0	363.0	1806.0	2244.0	1654.0	228.0	1038.0	558.0	922.0	6614.0	1588.0
JAK1_E25_STA100321	568.0	758.0	1014.0	1188.0	940.0	302.0	828.0	730.0	2043.0	278.0	1897.0	434.0	1433.0	1377.0	522.0	188.0	884.0	474.0	826.0	174.0	904.0	296.0	966.0	1368.0	1049.0	191.0	704.0	388.0	608.0	4115.0	952.0
JAK1_E24_STA100322	2007.0	3732.0	5291.0	5565.0	5543.0	2097.0	3666.0	3119.0	7895.0	1451.0	6755.0	2594.0	7151.0	7202.0	2628.0	583.0	3679.0	2417.0	3889.0	1348.0	4653.0	1528.0	5357.0	7363.0	4947.0	760.0	2913.0	1909.0	2690.0	22456.0	4739.0
JAK1_E24_STA100323	3293.0	4322.0	5996.0	7127.0	5580.0	1945.0	5214.0	3892.0	12295.0	1811.0	10225.0	2668.0	8312.0	8141.0	2966.0	569.0	4439.0	2873.0	4305.0	1422.0	5980.0	1946.0	6323.0	9413.0	6684.0	945.0	3907.0	2330.0	3425.0	25808.0	7094.0
JAK1_E24_STA100324	1120.0	1696.0	2027.0	2364.0	1958.0	745.0	1984.0	1554.0	5081.0	704.0	3955.0	968.0	3300.0	3497.0	1094.0	322.0	1579.0	1014.0	1623.0	634.0	2510.0	816.0	2362.0	3328.0	2569.0	524.0	1561.0	900.0	1401.0	10245.0	2928.0
JAK1_E23_STA100325	2603.0	2944.0	4198.0	5224.0	3882.0	1382.0	3373.0	2531.0	8573.0	1467.0	7922.0	2169.0	5774.0	6373.0	1769.0	446.0	3049.0	1932.0	2931.0	1115.0	4492.0	1530.0	4596.0	6737.0	5111.0	618.0	2961.0	1688.0	2420.0	20140.0	5729.0
JAK1_E23_STA100326	675.0	1178.0	1407.0	2208.0	1438.0	702.0	1034.0	848.0	2816.0	556.0	1910.0	676.0	2110.0	2238.0	461.0	154.0	1007.0	764.0	1028.0	402.0	1818.0	507.0	1750.0	2196.0	1368.0	192.0	808.0	434.0	933.0	6892.0	1486.0
JAK1_E22_STA100327	3092.0	3613.0	5113.0	6533.0	4503.0	2044.0	4583.0	3762.0	10612.0	1611.0	9582.0	2544.0	6655.0	7388.0	2171.0	471.0	4159.0	2618.0	3499.0	1142.0	5223.0	1708.0	5434.0	7010.0	6666.0	820.0	3740.0	2200.0	3152.0	21623.0	6324.0
JAK1_E22_STA100328	5559.0	7904.0	11917.0	14808.0	10444.0	4199.0	10247.0	7282.0	21044.0	3385.0	18536.0	5553.0	13392.0	17118.0	5037.0	960.0	8516.0	5195.0	8466.0	2481.0	10946.0	3263.0	10627.0	15516.0	13050.0	2081.0	7165.0	4681.0	6316.0	47847.0	12413.0
