	D22D01232T	D22D01243T	D22D01253T	D22D01255T	D22D01259T	D22D01264T	E22D01256T	M22D01252	N22D01235	N22D01242	N22D01248	P22D01231	P22D01234	P22D01244	P22D01246	P22D01247	P22D01257	P22D01258	P22D01262	R22D01249	X22D00781	X22D00784	X22D00786	X22D00787	X22D00790	X22D00791	X22D00794	X22D00797	X22D00867	X22D00871	X22D00876	X22D01254
4q12_PDGFRA_E2_STA101420	5724	7084	3108	5938	1764	1594	992	1752	28298	27312	1216	0	190	1650	1842	2826	966	898	2870	496	2	6	2	0	2	4	2	2	18	6	82	2112
4q12_PDGFRA_E3_STA101421	8204	10068	6172	10584	2494	2424	2256	3204	40728	36830	4596	4	152	2258	2436	3056	2204	1202	5166	646	6	0	2	2	8	2	0	6	34	10	12	5522
4q12_PDGFRA_E4_STA101422	9634	8852	4182	7892	2494	2552	1468	1988	41576	42794	3850	6	186	1898	2724	3868	1136	1440	5324	648	6	2	2	4	10	6	32	10	48	4	24	3074
4q12_PDGFRA_E5_STA101423	5852	6292	1528	4076	1260	1410	560	1152	27272	21358	1128	2	102	1154	1624	1944	444	664	2406	196	2	2	2	4	8	4	2	0	2	22	6	1860
4q12_PDGFRA_E6_STA101424	4718	6274	1742	5782	1178	1514	772	1228	26422	25982	1930	4	120	1114	1368	1854	748	688	2964	244	4	4	2	4	0	2	2	2	16	2	38	1768
4q12_PDGFRA_E7_STA101425	4806	6696	1474	4682	1328	1224	628	1044	20510	24584	1432	2	104	906	1778	2016	668	532	2634	140	6	4	2	2	4	4	4	8	6	2	18	1190
4q12_PDGFRA_E8_STA101426	10014	11146	8528	15094	3010	3082	3454	3070	48320	44552	3234	0	294	2680	3872	3242	2194	1802	6334	612	0	0	4	0	4	4	16	0	6	4	28	4362
4q12_PDGFRA_E9_STA101427	7848	9884	6222	6042	2078	2524	2510	2302	35406	37092	3998	26	58	2720	2488	2666	1318	1334	5140	752	4	0	6	4	2	2	0	4	4	2	104	3968
4q12_PDGFRA_E10_STA101428	11144	12888	10610	17598	2742	3066	4384	3248	61740	62038	7774	4	234	2746	3422	5402	1456	1418	10246	864	92	10	6	8	4	8	0	4	66	6	206	9890
4q12_PDGFRA_E11_STA101429	9848	10016	6248	9050	2174	2756	2248	2702	46128	55280	4508	4	242	2094	3054	4034	1484	1340	7114	428	2	0	6	2	4	10	14	2	6	6	46	5668
4q12_PDGFRA_E12_STA100207	49262	53370	29503	69535	15021	17210	9900	15584	235901	226975	19321	34	969	13148	19094	19111	11629	8326	32006	3707	10	22	34	30	34	34	16	34	52	30	36	22535
4q12_PDGFRA_E12_STA101616	49310	53423	29538	69586	15036	17226	9908	15601	236163	227162	19347	34	970	13158	19110	19119	11644	8334	32051	3710	10	22	34	30	34	34	16	34	52	30	36	22551
4q12_PDGFRA_E12_STA100209	49316	53422	29541	69577	15037	17227	9907	15601	236166	227162	19350	33	970	13160	19108	19120	11646	8334	32048	3709	10	22	34	30	34	34	16	34	52	30	36	22555
4q12_PDGFRA_E13_STA101430	7494	8864	2988	5408	1670	2348	834	1704	32054	24892	3280	6	182	1584	2118	2210	824	1008	3992	682	8	2	2	2	4	8	2	10	0	2	18	3258
4q12_PDGFRA_E14_STA100210	5387	5817	1959	4910	1471	1716	750	985	24538	27404	1698	2	94	1180	1668	2296	857	892	3206	309	6	0	4	0	4	8	0	4	0	2	54	1644
4q12_PDGFRA_E14_STA100211	12872	13470	7006	12914	3422	4007	2474	3075	60161	64027	5242	36	252	2740	4114	4522	1963	2155	8068	873	20	2	4	2	6	10	34	4	8	30	180	5994
4q12_PDGFRA_E14_STA100212	11525	11560	6618	11664	3066	3614	2282	2816	54029	57415	4876	36	248	2433	3716	3898	1759	1990	7322	810	18	2	2	2	6	4	34	2	8	28	140	5561
4q12_PDGFRA_E15_STA101431	11894	11982	2888	6182	2072	2884	634	2048	48174	34004	726	0	368	2340	2646	3918	1304	1112	4926	768	2	6	2	4	0	2	0	6	4	6	6	2240
4q12_PDGFRA_E16_STA101432	11870	13962	6152	10180	2926	3400	1570	3030	55404	43950	2608	0	448	2104	3422	4012	2138	1332	6166	716	78	4	4	6	10	4	10	8	10	28	12	3582
